coordinate,dataset_slice_id,source_pair_id,class_code,class_name,scenario_code,maturity,label,split,lineage_group_id,left_sha256,right_sha256,left_package,right_package,decode_status,feature_status,permissions_jaccard,components_jaccard,classes_jaccard,res_path_jaccard,raw_apk_cache_policy,decoded_dir_policy,allowed_use,forbidden_use,evidence_ref
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0001,AZP-PB-0001,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0001,00575de650f78413c91e8e613adf9099812f325aa9cf36c72e81c79b230f58f4,a55ea5807203ce31470d1905ed30f9267ae3459809dda25c4f339197de6486fe,rapscallion.sharq2,rapscallion.sharq2,success,success,0.1429,0.3750,0.2982,1.0000,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0001
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0002,AZP-PB-0002,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0002,006009db95496d4e42281eb18c6e5ca81132de1489f690fd5b805baff6f4a7c4,b5610062146d79ca6cdfdca2f42555aee3c5317fdda76bde40b4bd286b4f6a86,com.gameneeti.game.premiumleague,com.gameneeti.game.premiumleague,success,success,0.5000,0.8333,0.9366,0.8276,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0002
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0003,AZP-PB-0003,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0003,009d7e035c1a41ccea8f4332506f3f65b14c673750c1fdb518fad6886a22d931,03e4b7d80a9cb3c2169f2cf4bad1edfbe14d5a3eb5dfc7caeeacb9a6557bac23,com.happymaau.MathRef,com.happymaau.MathRef,success,success,0.2222,0.5714,0.5775,1.0000,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0003
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0004,AZP-PB-0004,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0004,00b04cda4f1c6f3a838b0303ec6142d7420164555f08bf337fab45c6a9b51e35,a7cb7b66eb8af4f27dc856c942ae2b35505b848a4c891e5cafdd4dba9ff60141,com.nlucas.iphonenotifications,com.nlucas.iphonenotifications,success,success,1.0000,1.0000,1.0000,0.8011,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0004
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0005,AZP-PB-0005,C05,code_injection,S01,M0,positive_piggybacking,holdout,AZP-PBG-0005,00c381f40f4084f98ce6c7a9a32a1bbc890123e9244f779aefb491eaf9dcf316,2dc27146f98e2c993f38e0af9a1604430c98e8861353a2c79c731668903d087d,com.GroundSpeedOnline.overtakeextrememotolite,com.GroundSpeedOnline.overtakeextrememotolite,success,success,0.2500,0.5000,0.7654,1.0000,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0005
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0006,AZP-PB-0006,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0006,013bd1b87581626cc5bdb185d22d4c36476cf30078ac617b02a855cb2e2dd533,7eb06aa2df84855ee73ab3d9dbd4f5128c5c0c98ed3c31901dfc7568b34b7b34,cn.cf.shop_ele1.taoxiaosan,cn.cf.shop_ele1.taoxiaosan,success,success,1.0000,1.0000,1.0000,0.9985,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0006
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0007,AZP-PB-0007,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0007,01402b3eefcdc7b4236f9e51a586def98512db08399b204d223c748a942d0d4b,2d1312b1fe86a88cada84ca97946b3c50e157e5bca251373902837d82e9d08f4,au.com.phil.abduction,au.com.phil.abduction,success,success,1.0000,1.0000,1.0000,1.0000,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0007
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0008,AZP-PB-0008,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0008,01c32411bda45bb4e3c959a9b1fe5de051475e3afb74fecb8d82e5b629812ae1,5513a2cefdfdc8123382392b55447d7d46f6f908d0049274972324352a72ba9d,com.petking5.wipay,com.petking5.wipay,success,success,0.9000,0.5000,0.7819,1.0000,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0008
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0009,AZP-PB-0009,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0009,01d187b35224373928b795974d92ca6396a3496c7eb192de8a4419e29da6848a,200ab30072b1ad52712eb89256fc40f93185b8cf7ea064fee8c4e8d774e9436a,com.sonicmoov.nekoana,com.sonicmoov.nekoana,success,success,1.0000,1.0000,1.0000,1.0000,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0009
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0010,AZP-PB-0010,C05,code_injection,S01,M0,positive_piggybacking,holdout,AZP-PBG-0010,02c76a4c267aba976b6a0cb91a88f1c20e73cdeb7e1ae88eb83632fb76fdd4ef,e57856c984afd9519062b59edb5fb995333db2659cc094e256a39beee8d8a084,com.eragonrd.brakefail,com.eragonrd.brakefail,success,success,0.4286,0.4000,0.6667,1.0000,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0010
DC-C05-S01-M0,DC-C05-S01-M0-PIGGY-0011,AZP-PB-0011,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0011,02f81f59c60a679b58c918efdfdd9ced368c33c2b13beafd3100fad52d63c9b6,dcfa23ca01108b4a6209547e19bbe1eb6ab6836eea35053c6ca6b7567adaabf4,com.g5e.righteouskill,com.g5e.righteouskill,success,success,1.0000,0.5500,0.8398,1.0000,external_cache_only_no_git,temporary_rebuildable_no_git,M0 technical checks and M1 diagnostic preparation.,"No publication-grade quality claim, no broad piggybacking detection claim.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0011
