coordinate,source_pair_id,class_code,class_name,scenario_code,maturity,label,split,lineage_group_id,left_sha256,right_sha256,left_queue_id,right_queue_id,left_download_status,right_download_status,left_decode_status,right_decode_status,left_feature_status,right_feature_status,pair_materialization_status,next_action,evidence_ref
DC-C05-S01-M0,AZP-PB-0001,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0001,00575de650f78413c91e8e613adf9099812f325aa9cf36c72e81c79b230f58f4,a55ea5807203ce31470d1905ed30f9267ae3459809dda25c4f339197de6486fe,AZP-DL-0015,AZP-DL-0016,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0001
DC-C05-S01-M0,AZP-PB-0002,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0002,006009db95496d4e42281eb18c6e5ca81132de1489f690fd5b805baff6f4a7c4,b5610062146d79ca6cdfdca2f42555aee3c5317fdda76bde40b4bd286b4f6a86,AZP-DL-0017,AZP-DL-0018,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0002
DC-C05-S01-M0,AZP-PB-0003,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0003,009d7e035c1a41ccea8f4332506f3f65b14c673750c1fdb518fad6886a22d931,03e4b7d80a9cb3c2169f2cf4bad1edfbe14d5a3eb5dfc7caeeacb9a6557bac23,AZP-DL-0019,AZP-DL-0020,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0003
DC-C05-S01-M0,AZP-PB-0004,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0004,00b04cda4f1c6f3a838b0303ec6142d7420164555f08bf337fab45c6a9b51e35,a7cb7b66eb8af4f27dc856c942ae2b35505b848a4c891e5cafdd4dba9ff60141,AZP-DL-0021,AZP-DL-0022,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0004
DC-C05-S01-M0,AZP-PB-0005,C05,code_injection,S01,M0,positive_piggybacking,holdout,AZP-PBG-0005,00c381f40f4084f98ce6c7a9a32a1bbc890123e9244f779aefb491eaf9dcf316,2dc27146f98e2c993f38e0af9a1604430c98e8861353a2c79c731668903d087d,AZP-DL-0023,AZP-DL-0024,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0005
DC-C05-S01-M0,AZP-PB-0006,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0006,013bd1b87581626cc5bdb185d22d4c36476cf30078ac617b02a855cb2e2dd533,7eb06aa2df84855ee73ab3d9dbd4f5128c5c0c98ed3c31901dfc7568b34b7b34,AZP-DL-0025,AZP-DL-0026,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0006
DC-C05-S01-M0,AZP-PB-0007,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0007,01402b3eefcdc7b4236f9e51a586def98512db08399b204d223c748a942d0d4b,2d1312b1fe86a88cada84ca97946b3c50e157e5bca251373902837d82e9d08f4,AZP-DL-0027,AZP-DL-0028,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0007
DC-C05-S01-M0,AZP-PB-0008,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0008,01c32411bda45bb4e3c959a9b1fe5de051475e3afb74fecb8d82e5b629812ae1,5513a2cefdfdc8123382392b55447d7d46f6f908d0049274972324352a72ba9d,AZP-DL-0029,AZP-DL-0030,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0008
DC-C05-S01-M0,AZP-PB-0009,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0009,01d187b35224373928b795974d92ca6396a3496c7eb192de8a4419e29da6848a,200ab30072b1ad52712eb89256fc40f93185b8cf7ea064fee8c4e8d774e9436a,AZP-DL-0031,AZP-DL-0032,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0009
DC-C05-S01-M0,AZP-PB-0010,C05,code_injection,S01,M0,positive_piggybacking,holdout,AZP-PBG-0010,02c76a4c267aba976b6a0cb91a88f1c20e73cdeb7e1ae88eb83632fb76fdd4ef,e57856c984afd9519062b59edb5fb995333db2659cc094e256a39beee8d8a084,AZP-DL-0033,AZP-DL-0034,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0010
DC-C05-S01-M0,AZP-PB-0011,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0011,02f81f59c60a679b58c918efdfdd9ced368c33c2b13beafd3100fad52d63c9b6,dcfa23ca01108b4a6209547e19bbe1eb6ab6836eea35053c6ca6b7567adaabf4,AZP-DL-0035,AZP-DL-0036,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0011
DC-C05-S01-M0,AZP-PB-0012,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0012,032b3ab75a6d39dd52e0a2e87e6b0611a9395dddae828b554f029a658d7ed18d,b2df9856658c9a2366f9974ea73c8d01187a68d1ce39716eb2a9bebbcb0195a2,AZP-DL-0037,AZP-DL-0038,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0012
DC-C05-S01-M0,AZP-PB-0013,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0013,032fcfc99fdbff2acc6807f431affdf540d45ddb3cba43e99436018e461c70d8,365b7de96c392bcb574dec33fbbd1deacdda448ca6374401a3344c3c44ab9285,AZP-DL-0039,AZP-DL-0040,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0013
DC-C05-S01-M0,AZP-PB-0014,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0014,03828a4cd0d2dca3ec3441802fb35665af42a894b5c794be81a8873a3be4fed7,00b4c41891bc44b63a6a1c4b7aca6b9b645b1b8579bac2597d3503dd504f4612,AZP-DL-0041,AZP-DL-0042,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0014
DC-C05-S01-M0,AZP-PB-0015,C05,code_injection,S01,M0,positive_piggybacking,holdout,AZP-PBG-0015,03ae13c1bc8e498058f54c1e30b5ea145208d27e832721cf5271794f4355acd1,2dce45c852ea20f6731d30a4162fe920a9fbd4892d5193585dcd447f5f5ef4ce,AZP-DL-0043,AZP-DL-0044,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0015
DC-C05-S01-M0,AZP-PB-0016,C05,code_injection,S01,M0,positive_piggybacking,dev,AZP-PBG-0016,03c54e3a352343e8208c3a32b1c5ade2731833f59334d18630c3c2ded5f4a31d,7afbb915ff66427dbd8f28535e79a66f10fd193ba925ed73d6d495000598f10c,AZP-DL-0045,AZP-DL-0046,downloaded,downloaded,success,success,success,success,ready_m0_pair,Use in M0/M1 diagnostic runs only.,AZ-PILOT-001:pairs.csv:AZP-PB-0016
