seed_pair_id,coordinate,class_code,class_name,scenario_support,label,ground_truth_kind,label_source,label_method,label_confidence,evidence_ref,base_app_id,reuse_group,independence_unit,claim_scope,left_id,right_id,left_sha256,right_sha256,left_apk_ref,right_apk_ref,source_kind,source_ref,data_quality,expected_change,expected_invariants,notes,verification_status,verification_details,generated_at_utc
M0-C02-LIB-APK-001,DC-C02-S01-M0,C02,library_injection,S01;S02;S03;S04;S05,positive_library_injection,controlled_generated_transformation,M0 controlled local APK materializer,controlled_synthetic_library_package_injection,strong,m0/m0_controlled_materialization.csv:M0-C02-LIB-APK-001,m0-familya,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familya-base,m0-familya-library-injected,41f77e16e8da344d7a89dd070e132567f1df427189b58cd90d7405d2d65eb62d,9b7e49a16e02535735e71b863b3910300686c8a0e8ed1f2e923fc5ff8f85ac06,m0/generated-apks/M0-C02-LIB-APK-001/left.apk,m0/generated-apks/M0-C02-LIB-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,Synthetic library-like M0 pair; no claim about real SDK behavior.,ok,apktool decode ok; right side contains synthetic library smali package,2026-06-11T13:54:28+00:00
M0-C03-RES-APK-001,DC-C03-S01-M0,C03,resource_change,S01;S02;S03;S04;S05,positive_resource_change,controlled_generated_transformation,M0 controlled local APK materializer,controlled_resource_table_change,strong,m0/m0_controlled_materialization.csv:M0-C03-RES-APK-001,m0-familya,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familya-base,m0-familya-resource-changed,1441d2dcb6cc02efc44145360041caa06535623c663f049cf9d81bd452efc2cf,311d20d49566e4eb754f9056a7a853fa0a57742768a6dd388b76d793061246cf,m0/generated-apks/M0-C03-RES-APK-001/left.apk,m0/generated-apks/M0-C03-RES-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,Synthetic resource-only M0 pair.,ok,apktool decode ok; right side contains changed resources,2026-06-11T13:54:30+00:00
M0-C04-PKG-APK-002,DC-C04-S01-M0,C04,package_rename,S01;S02;S03;S04;S05,positive_package_rename,controlled_generated_transformation,M0 controlled local APK materializer,controlled_package_namespace_generation,strong,m0/m0_controlled_materialization.csv:M0-C04-PKG-APK-002,m0-familya,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familya-base,m0-familya-package-renamed,36425a8f13b0836794e118649dcae01d10adcf51953ab42a235b523f1837ba3f,1ef1f0920da61fcb1d3f92294374afe9f71f340cded0230f1ba134a2c78c0b68,m0/generated-apks/M0-C04-PKG-APK-002/left.apk,m0/generated-apks/M0-C04-PKG-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,manifest and class namespace changed to com.phd.m0.renamed.familya,same generated class count and method bodies,Synthetic package rename M0 pair.,ok,left_entries=6;right_entries=6,2026-06-11T13:54:32+00:00
M0-C06-OBF-APK-002,DC-C06-S01-M0,C06,r8_obfuscation,S01;S02;S03;S04;S05,positive_obfuscation_like_rename,controlled_generated_transformation,M0 controlled local APK materializer,controlled_obfuscation_like_symbol_rename,medium,m0/m0_controlled_materialization.csv:M0-C06-OBF-APK-002,m0-familya,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familya-base,m0-familya-obfuscated,9279e54472cf2071ab25bd2a2a2ec4ade59f1e727a27e0b17f0f72784570b294,76dca2fec3934bb7ce4c4d51340ac5b0f26b900de1ca2b1a91eb0b0f06d4b2e9,m0/generated-apks/M0-C06-OBF-APK-002/left.apk,m0/generated-apks/M0-C06-OBF-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,class and method names shortened in the same package,same generated class count and method bodies,M0 obfuscation-like pair; not a real R8 compiler output.,ok,left_entries=6;right_entries=6,2026-06-11T13:54:34+00:00
M0-C07-NATIVE-APK-001,DC-C07-S01-M0,C07,native_lib_change,S01;S02;S03;S04;S05,positive_native_lib_added,controlled_generated_transformation,M0 controlled local APK materializer,controlled_native_library_file_addition,strong,m0/m0_controlled_materialization.csv:M0-C07-NATIVE-APK-001,m0-familya,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familya-base,m0-familya-native-lib-added,e3ecbc6fac91918f962fa060047fbed0f5eb1f576707f335f8f4633698481725,8583b1ae7758a92f85b672bf98d39623789feb20490bb670015b7f842e7315bf,m0/generated-apks/M0-C07-NATIVE-APK-001/left.apk,m0/generated-apks/M0-C07-NATIVE-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,lib/armeabi-v7a/libm0native.so added,manifest and dex class set stay unchanged,Synthetic native inventory M0 pair; the .so is a minimal marker file.,ok,apktool decode ok; right side contains lib/armeabi-v7a/libm0native.so,2026-06-11T13:54:37+00:00
M0-C08-DEL-APK-002,DC-C08-S01-M0,C08,code_deletion,S01;S02;S03;S04;S05,positive_code_deletion,controlled_generated_transformation,M0 controlled local APK materializer,controlled_class_deletion,strong,m0/m0_controlled_materialization.csv:M0-C08-DEL-APK-002,m0-familya,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familya-base,m0-familya-code-deleted,d8e028924c59178311eefd130e3166ab9d00945cf46765776f84f406bd2b3e65,d8809ad982575cd38dcd88d0067e2d4b9bfc7c9ec3674843872400c5649fadea,m0/generated-apks/M0-C08-DEL-APK-002/left.apk,m0/generated-apks/M0-C08-DEL-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,generated class count reduced from 6 to 3,manifest package and resources stay unchanged,Synthetic code deletion M0 pair.,ok,left_entries=6;right_entries=6,2026-06-11T13:54:39+00:00
M0-C09-MDEX-APK-001,DC-C09-S01-M0,C09,multidex_change,S01;S02;S03;S04;S05,positive_multidex_split,controlled_generated_transformation,M0 controlled local APK materializer,controlled_multidex_split,strong,m0/m0_controlled_materialization.csv:M0-C09-MDEX-APK-001,m0-familya,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familya-base,m0-familya-multidex-split,eef86e22f9d18b55991e8939e307eb0260439a86d6827943d272e84871cf2a62,fc53766d96acda1c44af48779156a28e0c566e02931d09f691db60057f7f115f,m0/generated-apks/M0-C09-MDEX-APK-001/left.apk,m0/generated-apks/M0-C09-MDEX-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,same generated classes split across classes.dex and classes2.dex,generated class count stays 10,Synthetic multidex M0 pair.,ok,right_has_classes2.dex=True,2026-06-11T13:54:41+00:00
M0-F01-FAIL-APK-002,DC-F01-S06-M0,F01,analysis_failure,S06,code_empty_apk,controlled_generated_transformation,M0 controlled local APK materializer,controlled_code_empty_apk_generation,strong,m0/m0_controlled_materialization.csv:M0-F01-FAIL-APK-002,m0-familya,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familya-base,,53ac98b6727057e9428a89ba9008eb4a2166aa442964867589c95dbdaaf0c36f,,m0/generated-apks/M0-F01-FAIL-APK-002/left.apk,,controlled_generated_failure_apk,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,APK has manifest and resources but no classes.dex,"failure must be reported as analysis_failed, not score=0",Synthetic code-empty failure case.,ok,apktool decode ok; no classes.dex expected,2026-06-11T13:54:42+00:00
M0-C02-LIB-APK-002,DC-C02-S01-M0,C02,library_injection,S01;S02;S03;S04;S05,positive_library_injection,controlled_generated_transformation,M0 controlled local APK materializer,controlled_synthetic_library_package_injection,strong,m0/m0_controlled_materialization.csv:M0-C02-LIB-APK-002,m0-familyb,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familyb-base,m0-familyb-library-injected,bb78b8453a5db6060ba428e33e724685c85880ddfd2d935673bb9bbae7c11ca2,3d573d996e632d1554247282b471ccfe77b3c4bfeffafb9caadf2ef4090a7468,m0/generated-apks/M0-C02-LIB-APK-002/left.apk,m0/generated-apks/M0-C02-LIB-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,Synthetic library-like M0 pair; no claim about real SDK behavior.,ok,apktool decode ok; right side contains synthetic library smali package,2026-06-11T13:54:44+00:00
M0-C03-RES-APK-002,DC-C03-S01-M0,C03,resource_change,S01;S02;S03;S04;S05,positive_resource_change,controlled_generated_transformation,M0 controlled local APK materializer,controlled_resource_table_change,strong,m0/m0_controlled_materialization.csv:M0-C03-RES-APK-002,m0-familyb,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.,m0-familyb-base,m0-familyb-resource-changed,d862ea4103a9c3d21c54fe1e716b9216064a0f264ceee65f22fbaac5fe8ee9a2,e3d131e8225879141773646b2e748df7b924bf8c4b1f6e79a8f466679aaa07b6,m0/generated-apks/M0-C03-RES-APK-002/left.apk,m0/generated-apks/M0-C03-RES-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,generated_local_verified,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,Synthetic resource-only M0 pair.,ok,apktool decode ok; right side contains changed resources,2026-06-11T13:54:47+00:00
