seed_app_id,class_code,class_name,coordinate_support,app_ref,sha256,apk_ref,source_ref,materialization_status,notes
M0-C01-APP-001-L,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,E-2026-04-032:RGO-0001:left
M0-C01-APP-001-R,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,E-2026-04-032:RGO-0001:right
M0-C01-APP-002-L,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,E-2026-04-032:RGO-0002:left
M0-C01-APP-002-R,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,E-2026-04-032:RGO-0002:right
M0-C01-APP-003-L,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,E-2026-04-032:RGO-0003:left
M0-C01-APP-003-R,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,3ff73591ab3c0bd3d8271a3f5b5643154f3e4d6dff7203fbfff052aea71bb9b1,3ff73591ab3c0bd3d8271a3f5b5643154f3e4d6dff7203fbfff052aea71bb9b1,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,E-2026-04-032:RGO-0003:right
M0-C01-APP-004-L,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,E-2026-04-032:RGO-0004:left
M0-C01-APP-004-R,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,c9f77f0849974a41d6a35cb00e2a4274b4d4a3a5435a1a7ceac645dc32805a03,c9f77f0849974a41d6a35cb00e2a4274b4d4a3a5435a1a7ceac645dc32805a03,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,
M0-C01-APP-005-L,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,E-2026-04-032:RGO-0005:left
M0-C01-APP-005-R,C01,repack,DC-C01-S01-M0;DC-C01-S02-M0;DC-C01-S03-M0;DC-C01-S04-M0;DC-C01-S05-M0,ccea2daaee5d9ef65876b8b1e7aed79454cd7e501f291ed2aca0e4973ff1075f,ccea2daaee5d9ef65876b8b1e7aed79454cd7e501f291ed2aca0e4973ff1075f,,AZ-PILOT-001:apps.csv,stable_cache_decoded_features_extracted,E-2026-04-032:RGO-0005:right
