seed_pair_id,coordinate,class_code,class_name,scenario_support,maturity,label,ground_truth_kind,label_source,label_method,label_confidence,evidence_ref,base_app_id,reuse_group,independence_unit,claim_scope,left_id,right_id,left_sha256,right_sha256,left_apk_ref,right_apk_ref,source_kind,source_ref,data_quality,expected_change,expected_invariants,notes
M0-C01-RP-001,DC-C01-S01-M0,C01,repack,S01;S02;S03;S04;S05,M0,positive_repack,external_pair_label,RePack/GridDroid label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,strong,AZ-PILOT-001:pairs.csv:AZP-RP-0001,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,az-repack-AZP-RP-0001,az-repack-01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,M0 materialization and technical checks only; quality claims require M1+ split.,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,From AZP-RP-0001; external RePack/GridDroid label.
M0-C01-RP-002,DC-C01-S01-M0,C01,repack,S01;S02;S03;S04;S05,M0,positive_repack,external_pair_label,RePack/GridDroid label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,strong,AZ-PILOT-001:pairs.csv:AZP-RP-0002,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,az-repack-AZP-RP-0002,az-repack-04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,M0 materialization and technical checks only; quality claims require M1+ split.,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,From AZP-RP-0002; external RePack/GridDroid label.
M0-C01-RP-003,DC-C01-S01-M0,C01,repack,S01;S02;S03;S04;S05,M0,positive_repack,external_pair_label,RePack/GridDroid label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,strong,AZ-PILOT-001:pairs.csv:AZP-RP-0003,05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,az-repack-AZP-RP-0003,az-repack-05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,M0 materialization and technical checks only; quality claims require M1+ split.,05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,3ff73591ab3c0bd3d8271a3f5b5643154f3e4d6dff7203fbfff052aea71bb9b1,05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,3ff73591ab3c0bd3d8271a3f5b5643154f3e4d6dff7203fbfff052aea71bb9b1,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,From AZP-RP-0003; external RePack/GridDroid label.
M0-C01-RP-004,DC-C01-S01-M0,C01,repack,S01;S02;S03;S04;S05,M0,positive_repack,external_pair_label,RePack/GridDroid label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,strong,AZ-PILOT-001:pairs.csv:AZP-RP-0004,083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,az-repack-AZP-RP-0004,az-repack-083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,M0 materialization and technical checks only; quality claims require M1+ split.,083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,c9f77f0849974a41d6a35cb00e2a4274b4d4a3a5435a1a7ceac645dc32805a03,083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,c9f77f0849974a41d6a35cb00e2a4274b4d4a3a5435a1a7ceac645dc32805a03,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,From AZP-RP-0004; external RePack/GridDroid label.
M0-C01-RP-005,DC-C01-S01-M0,C01,repack,S01;S02;S03;S04;S05,M0,positive_repack,external_pair_label,RePack/GridDroid label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,strong,AZ-PILOT-001:pairs.csv:AZP-RP-0005,10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,az-repack-AZP-RP-0005,az-repack-10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,M0 materialization and technical checks only; quality claims require M1+ split.,10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,ccea2daaee5d9ef65876b8b1e7aed79454cd7e501f291ed2aca0e4973ff1075f,10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,ccea2daaee5d9ef65876b8b1e7aed79454cd7e501f291ed2aca0e4973ff1075f,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,From AZP-RP-0005; external RePack/GridDroid label.
M0-C01-RP-006,DC-C01-S01-M0,C01,repack,S01;S02;S03;S04;S05,M0,positive_repack,external_pair_label,RePack/GridDroid label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,strong,AZ-PILOT-001:pairs.csv:AZP-RP-0006,228e4844ebbea413fbd16b17ba09e96ebdf93c3ba0499edc67ec28b6fea2dadd,az-repack-AZP-RP-0006,az-repack-228e4844ebbea413fbd16b17ba09e96ebdf93c3ba0499edc67ec28b6fea2dadd,M0 materialization and technical checks only; quality claims require M1+ split.,228e4844ebbea413fbd16b17ba09e96ebdf93c3ba0499edc67ec28b6fea2dadd,9d21e7213377abb04cb3134999fd25dc5cae798f9549e605b82f50259507fdef,228e4844ebbea413fbd16b17ba09e96ebdf93c3ba0499edc67ec28b6fea2dadd,9d21e7213377abb04cb3134999fd25dc5cae798f9549e605b82f50259507fdef,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,From AZP-RP-0006; external RePack/GridDroid label.
M0-C01-RP-007,DC-C01-S01-M0,C01,repack,S01;S02;S03;S04;S05,M0,positive_repack,external_pair_label,RePack/GridDroid label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,strong,AZ-PILOT-001:pairs.csv:AZP-RP-0007,256b984de50e7d46d4457ebcbae98f1b1a500fed3ec75659d3834416f1cf68de,az-repack-AZP-RP-0007,az-repack-256b984de50e7d46d4457ebcbae98f1b1a500fed3ec75659d3834416f1cf68de,M0 materialization and technical checks only; quality claims require M1+ split.,256b984de50e7d46d4457ebcbae98f1b1a500fed3ec75659d3834416f1cf68de,6fa7eba67dfd2922c5212040ffb93af73ee38e2371b2609fb670fd65e3aafc3c,256b984de50e7d46d4457ebcbae98f1b1a500fed3ec75659d3834416f1cf68de,6fa7eba67dfd2922c5212040ffb93af73ee38e2371b2609fb670fd65e3aafc3c,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,From AZP-RP-0007; external RePack/GridDroid label.
M0-C05-PB-001,DC-C05-S01-M0,C05,code_injection,S01;S02;S03;S04;S05,M0,positive_piggybacking,external_pair_label,Piggybacking label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,medium,AZ-PILOT-001:pairs.csv:AZP-PB-0001,00575de650f78413c91e8e613adf9099812f325aa9cf36c72e81c79b230f58f4,az-piggybacking-AZP-PB-0001,az-piggybacking-00575de650f78413c91e8e613adf9099812f325aa9cf36c72e81c79b230f58f4,"M0 materialization and technical checks only; quality claims require M1+ split, negative pairs, and explanation rubric.",00575de650f78413c91e8e613adf9099812f325aa9cf36c72e81c79b230f58f4,a55ea5807203ce31470d1905ed30f9267ae3459809dda25c4f339197de6486fe,00575de650f78413c91e8e613adf9099812f325aa9cf36c72e81c79b230f58f4,a55ea5807203ce31470d1905ed30f9267ae3459809dda25c4f339197de6486fe,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,payload/code added to original APK,original and piggybacked APK should preserve carrier-level similarity while added code appears,From AZP-PB-0001; restored Piggybacking queue label.
M0-C05-PB-002,DC-C05-S01-M0,C05,code_injection,S01;S02;S03;S04;S05,M0,positive_piggybacking,external_pair_label,Piggybacking label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,medium,AZ-PILOT-001:pairs.csv:AZP-PB-0002,006009db95496d4e42281eb18c6e5ca81132de1489f690fd5b805baff6f4a7c4,az-piggybacking-AZP-PB-0002,az-piggybacking-006009db95496d4e42281eb18c6e5ca81132de1489f690fd5b805baff6f4a7c4,"M0 materialization and technical checks only; quality claims require M1+ split, negative pairs, and explanation rubric.",006009db95496d4e42281eb18c6e5ca81132de1489f690fd5b805baff6f4a7c4,b5610062146d79ca6cdfdca2f42555aee3c5317fdda76bde40b4bd286b4f6a86,006009db95496d4e42281eb18c6e5ca81132de1489f690fd5b805baff6f4a7c4,b5610062146d79ca6cdfdca2f42555aee3c5317fdda76bde40b4bd286b4f6a86,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,payload/code added to original APK,original and piggybacked APK should preserve carrier-level similarity while added code appears,From AZP-PB-0002; restored Piggybacking queue label.
M0-C05-PB-003,DC-C05-S01-M0,C05,code_injection,S01;S02;S03;S04;S05,M0,positive_piggybacking,external_pair_label,Piggybacking label via AZ-PILOT-001,external_dataset_label_with_stable_decode_check,medium,AZ-PILOT-001:pairs.csv:AZP-PB-0003,009d7e035c1a41ccea8f4332506f3f65b14c673750c1fdb518fad6886a22d931,az-piggybacking-AZP-PB-0003,az-piggybacking-009d7e035c1a41ccea8f4332506f3f65b14c673750c1fdb518fad6886a22d931,"M0 materialization and technical checks only; quality claims require M1+ split, negative pairs, and explanation rubric.",009d7e035c1a41ccea8f4332506f3f65b14c673750c1fdb518fad6886a22d931,03e4b7d80a9cb3c2169f2cf4bad1edfbe14d5a3eb5dfc7caeeacb9a6557bac23,009d7e035c1a41ccea8f4332506f3f65b14c673750c1fdb518fad6886a22d931,03e4b7d80a9cb3c2169f2cf4bad1edfbe14d5a3eb5dfc7caeeacb9a6557bac23,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,stable_cache_decoded_and_features_extracted,payload/code added to original APK,original and piggybacked APK should preserve carrier-level similarity while added code appears,From AZP-PB-0003; restored Piggybacking queue label.
