queue_id,dataset_id,sha256,source_service,expected_size_bytes,expected_sha256,status,failure_reason
C01M1-DL-0001,DC-C01-S01-M1,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,androzoo,,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,downloaded,
C01M1-DL-0002,DC-C01-S01-M1,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,androzoo,,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,downloaded,
C01M1-DL-0003,DC-C01-S01-M1,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,androzoo,,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,downloaded,
C01M1-DL-0004,DC-C01-S01-M1,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,androzoo,,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,downloaded,
C01M1-DL-0005,DC-C01-S01-M1,05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,androzoo,,05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,downloaded,
C01M1-DL-0006,DC-C01-S01-M1,3ff73591ab3c0bd3d8271a3f5b5643154f3e4d6dff7203fbfff052aea71bb9b1,androzoo,,3ff73591ab3c0bd3d8271a3f5b5643154f3e4d6dff7203fbfff052aea71bb9b1,downloaded,
C01M1-DL-0007,DC-C01-S01-M1,083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,androzoo,,083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,downloaded,
C01M1-DL-0008,DC-C01-S01-M1,c9f77f0849974a41d6a35cb00e2a4274b4d4a3a5435a1a7ceac645dc32805a03,androzoo,,c9f77f0849974a41d6a35cb00e2a4274b4d4a3a5435a1a7ceac645dc32805a03,downloaded,
C01M1-DL-0009,DC-C01-S01-M1,10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,androzoo,,10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,downloaded,
C01M1-DL-0010,DC-C01-S01-M1,ccea2daaee5d9ef65876b8b1e7aed79454cd7e501f291ed2aca0e4973ff1075f,androzoo,,ccea2daaee5d9ef65876b8b1e7aed79454cd7e501f291ed2aca0e4973ff1075f,downloaded,
C01M1-DL-0011,DC-C01-S01-M1,228e4844ebbea413fbd16b17ba09e96ebdf93c3ba0499edc67ec28b6fea2dadd,androzoo,,228e4844ebbea413fbd16b17ba09e96ebdf93c3ba0499edc67ec28b6fea2dadd,downloaded,
C01M1-DL-0012,DC-C01-S01-M1,9d21e7213377abb04cb3134999fd25dc5cae798f9549e605b82f50259507fdef,androzoo,,9d21e7213377abb04cb3134999fd25dc5cae798f9549e605b82f50259507fdef,downloaded,
C01M1-DL-0013,DC-C01-S01-M1,256b984de50e7d46d4457ebcbae98f1b1a500fed3ec75659d3834416f1cf68de,androzoo,,256b984de50e7d46d4457ebcbae98f1b1a500fed3ec75659d3834416f1cf68de,downloaded,
