pair_id,change_tag,tag_source,tag_confidence,tag_evidence
DC-C01-S01-M1-POS-0001,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0001
DC-C01-S01-M1-POS-0002,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0002
DC-C01-S01-M1-POS-0002,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.7569
DC-C01-S01-M1-POS-0002,resource_change,feature_delta_smoke,medium,res_path_jaccard=0.9940
DC-C01-S01-M1-POS-0003,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0003
DC-C01-S01-M1-POS-0003,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.1857
DC-C01-S01-M1-POS-0004,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0004
DC-C01-S01-M1-POS-0005,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0005
DC-C01-S01-M1-POS-0005,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.9894
DC-C01-S01-M1-POS-0006,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0006
DC-C01-S01-M1-POS-0007,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0007
DC-C01-S01-M1-POS-0007,resource_change,feature_delta_smoke,medium,res_path_jaccard=0.9356
DC-C01-S01-M1-POS-0008,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0008
DC-C01-S01-M1-POS-0008,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.8717
DC-C01-S01-M1-POS-0008,resource_change,feature_delta_smoke,medium,res_path_jaccard=0.8750
DC-C01-S01-M1-POS-0008,package_name_change,feature_delta_smoke,medium,com.tekciz.idol2012->com.tekciz.thevoice
DC-C01-S01-M1-POS-0009,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0009
DC-C01-S01-M1-POS-0009,permission_change,feature_delta_smoke,medium,permissions_jaccard=0.9000
DC-C01-S01-M1-POS-0009,component_change,feature_delta_smoke,medium,components_jaccard=0.9000
DC-C01-S01-M1-POS-0009,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.9743
DC-C01-S01-M1-POS-0009,resource_change,feature_delta_smoke,medium,res_path_jaccard=0.8800
DC-C01-S01-M1-POS-0009,package_name_change,feature_delta_smoke,medium,com.zhaocha.Whereisbeauty.free1->com.game.Blackjack.Classic.free1
DC-C01-S01-M1-POS-0010,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0010
DC-C01-S01-M1-POS-0010,permission_change,feature_delta_smoke,medium,permissions_jaccard=0.8182
DC-C01-S01-M1-POS-0010,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.9812
DC-C01-S01-M1-POS-0010,package_name_change,feature_delta_smoke,medium,com.geniteam.gangwars.paid10rp->com.geniteam.gangwars.lite
DC-C01-S01-M1-POS-0011,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0011
DC-C01-S01-M1-POS-0011,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.9831
DC-C01-S01-M1-POS-0011,package_name_change,feature_delta_smoke,medium,org.northernstar.mobile->org.alps.mobile
DC-C01-S01-M1-POS-0012,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0012
DC-C01-S01-M1-POS-0012,component_change,feature_delta_smoke,medium,components_jaccard=0.9000
DC-C01-S01-M1-POS-0012,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.9353
DC-C01-S01-M1-POS-0012,resource_change,feature_delta_smoke,medium,res_path_jaccard=0.9833
DC-C01-S01-M1-POS-0012,package_name_change,feature_delta_smoke,medium,sniper.duck.shooter->net.appholic.poconghunter
DC-C01-S01-M1-POS-0013,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0013
DC-C01-S01-M1-POS-0013,component_change,feature_delta_smoke,medium,components_jaccard=0.9487
DC-C01-S01-M1-POS-0013,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.9531
DC-C01-S01-M1-POS-0013,package_name_change,feature_delta_smoke,medium,com.hellotalk->com.hellotalkoyrq
DC-C01-S01-M1-POS-0014,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0014
DC-C01-S01-M1-POS-0014,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.9769
DC-C01-S01-M1-POS-0014,resource_change,feature_delta_smoke,medium,res_path_jaccard=0.7273
DC-C01-S01-M1-POS-0015,repack,external_repack_label,medium,DC-C01-S01-M1-CAND-0016
DC-C01-S01-M1-POS-0015,class_set_change,feature_delta_smoke,medium,classes_jaccard=0.9636
