candidate_pair_id,source_ref,source_row_number,source_original_sha256,source_repackage_sha256,selection_status,selection_reason
DC-C01-S01-M1-CAND-0001,AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-RP-0001,,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,existing_m0_seed,AZP-RP-0001
DC-C01-S01-M1-CAND-0002,AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-RP-0002,,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,existing_m0_seed,AZP-RP-0002
DC-C01-S01-M1-CAND-0003,AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-RP-0003,,05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,3ff73591ab3c0bd3d8271a3f5b5643154f3e4d6dff7203fbfff052aea71bb9b1,existing_m0_seed,AZP-RP-0003
DC-C01-S01-M1-CAND-0004,AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-RP-0004,,083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,c9f77f0849974a41d6a35cb00e2a4274b4d4a3a5435a1a7ceac645dc32805a03,existing_m0_seed,AZP-RP-0004
DC-C01-S01-M1-CAND-0005,AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-RP-0005,,10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,ccea2daaee5d9ef65876b8b1e7aed79454cd7e501f291ed2aca0e4973ff1075f,existing_m0_seed,AZP-RP-0005
DC-C01-S01-M1-CAND-0006,AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-RP-0006,,228e4844ebbea413fbd16b17ba09e96ebdf93c3ba0499edc67ec28b6fea2dadd,9d21e7213377abb04cb3134999fd25dc5cae798f9549e605b82f50259507fdef,existing_m0_seed,AZP-RP-0006
DC-C01-S01-M1-CAND-0007,AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-RP-0007,,256b984de50e7d46d4457ebcbae98f1b1a500fed3ec75659d3834416f1cf68de,6fa7eba67dfd2922c5212040ffb93af73ee38e2371b2609fb670fd65e3aafc3c,existing_m0_seed,AZP-RP-0007
DC-C01-S01-M1-CAND-0008,E-EXEC-080-INVENTORY/repack-repo/repackaging_pairs.txt,2,000595c346096b92b073f3a7c055ffe466edcf3e51e017c280feab641e3d95d3,3f390b8c822ee9aacad4dc24cd0c40639fdc84d15b2c858377001aa207a8173a,selected_from_full_repack,first non-overlapping RePack pair by source order
DC-C01-S01-M1-CAND-0009,E-EXEC-080-INVENTORY/repack-repo/repackaging_pairs.txt,3,000d753e7c480fa12d69fd826890683b786e4c344c52a193f1aabe07542d4efe,fd537396e99df3e67bd6fbfec3951098c14a78265c714e63d2562e1977953d3d,selected_from_full_repack,first non-overlapping RePack pair by source order
DC-C01-S01-M1-CAND-0010,E-EXEC-080-INVENTORY/repack-repo/repackaging_pairs.txt,4,000ee4e31cccaddb3b9e301bd803ceed512b06f31d149c2e248545b49f4ee967,d73c16e1be06b4360ea13b1e25e2933bbc99ad5cb824b31b424a6ba09b3436ac,selected_from_full_repack,first non-overlapping RePack pair by source order
DC-C01-S01-M1-CAND-0011,E-EXEC-080-INVENTORY/repack-repo/repackaging_pairs.txt,5,0046c61ae24745e6a74d02a2dcf07494fd0ce6755f0c9484b8225bf4df31def1,b333c3b395c4e42c5d33dcfd30b6d5ebc01cf4aa449ea79c09807c86b0702101,selected_from_full_repack,first non-overlapping RePack pair by source order
DC-C01-S01-M1-CAND-0012,E-EXEC-080-INVENTORY/repack-repo/repackaging_pairs.txt,6,00602b9e81804905a6b7c0f1e066d0509da603b9d627a275b5e0d2fd52e6c260,2aef6c82b8843f097b49f64c04f6839c54dce0ff5b80b7d62758ec5caf6e3e35,selected_from_full_repack,first non-overlapping RePack pair by source order
DC-C01-S01-M1-CAND-0013,E-EXEC-080-INVENTORY/repack-repo/repackaging_pairs.txt,12,0087ad70f86a434fdc035e0f7b41ad81f4f9d254cc799eb1fc7c6ea60282d947,a917ebf3f01513044faed8cc7146251849b1e679d557b5a07be3e4aa83a0d1a4,selected_from_full_repack,first non-overlapping RePack pair by source order
DC-C01-S01-M1-CAND-0014,E-EXEC-080-INVENTORY/repack-repo/repackaging_pairs.txt,13,00fafd8dcdbd59ff035117ff1e19c8329a92ab797e452304fbe82aa9027acf24,857a078a0526def00650097bafc3e8aad51550561f1a914f886263a9ee96b897,selected_from_full_repack,first non-overlapping RePack pair by source order
DC-C01-S01-M1-CAND-0015,E-EXEC-080-INVENTORY/repack-repo/repackaging_pairs.txt,15,0121be4c78ce7e335fce7eb56be26c78e7ee8d2fe04b55b68a3bcf5472ec2a79,de43eba5aba996ca78d8a339028817fb6cf1c28560c84725601347b827ebb74b,selected_from_full_repack,first non-overlapping RePack pair by source order
