pair_id,dataset_id,dataset_version,left_sha256,right_sha256,label,lineage_group_id,split,ground_truth_source,label_confidence,notes
DC-C03-S01-M1-CAND-0001,DC-C03-S01-M1,m1-controlled-2026-06-12,a602c655c9d1ab66fab57e0acfb7a307cee9d5edf8bf587db66976fc125f00ba,e1919c6dd9b632b1bd1461b7eb27afa03a65023eedb9701a496c4669c8c3f7ca,positive_resource_change,C03M1-RES-0001,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0002,DC-C03-S01-M1,m1-controlled-2026-06-12,f0982befcd9713529602c6d6cd29cf31433333582efc0ab6dcc58e5e540901b2,6df5f982c0c78749e905456edebcfff9248ebcbd12194d2bbe7e254eb39be7d8,positive_resource_change,C03M1-RES-0002,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0003,DC-C03-S01-M1,m1-controlled-2026-06-12,1be522e7ff8d1d8265eb558b0d811560b3f18692b4ccaeaf3bfd5be538167b32,75edf5943d26a3b55e15e67c0645db7e3e902139222147bb0548f27ad987b7f2,positive_resource_change,C03M1-RES-0003,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0004,DC-C03-S01-M1,m1-controlled-2026-06-12,1be22f49e1f117ebf0a7ed6253b02e051fa240f078b8ec2dd0b50a7e50d2735a,9953de683dfddee39927598b59889e8eb4231c3e2fc9c8bad3d298895a97781f,positive_resource_change,C03M1-RES-0004,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0005,DC-C03-S01-M1,m1-controlled-2026-06-12,9dcd6a58101e3df189b9790ab35e8f99971fe96b164699f73a00f5e1b891d216,5d01f2d015ac486341a621c67d05e9d35c8f2b60dd430fb2a1944282660db934,positive_resource_change,C03M1-RES-0005,holdout,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0006,DC-C03-S01-M1,m1-controlled-2026-06-12,30526bdaefd4b273343af37ee0fd4c44104ba988f27b59415ae8646f7c5cedac,faef99e3d21d0db6366597c9e15cbf5f32f2a6243f322f50dd671e95bc61b317,positive_resource_change,C03M1-RES-0006,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0007,DC-C03-S01-M1,m1-controlled-2026-06-12,5b73702331f30468e879a6ab952960f84036a9954ea9ec3034a830507ccb484b,1391363e8aefa91c3e48fe2e5960283987a8d7d97082cdd02addfd25dd6072cc,positive_resource_change,C03M1-RES-0007,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0008,DC-C03-S01-M1,m1-controlled-2026-06-12,e9e1454d528b7630ca010b4f0684e2643b9fad5d0b0bf4c6892083b41380240e,5bc4cea43e94af2c835836ad30c32bad0a4ef491311f164deb2df0941e5fbd19,positive_resource_change,C03M1-RES-0008,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0009,DC-C03-S01-M1,m1-controlled-2026-06-12,078f3b7ecca2b39b6e04194a0a603e2c00daf8280ac25a5b042d31e2edcb23f7,203e6c5fa7b21020cd8f7974c6b1c253501e1c6b01ca65256e406b57e7217d04,positive_resource_change,C03M1-RES-0009,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0010,DC-C03-S01-M1,m1-controlled-2026-06-12,9a3e15e82d6e5ea695ab64688f95505284de46322a6cd7f3b202ae00183c8031,8c69e1381b0e7fadb1c41d59bcf88f781d73f251e8e6f0f9eb0e28926051e177,positive_resource_change,C03M1-RES-0010,holdout,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0011,DC-C03-S01-M1,m1-controlled-2026-06-12,3beb30ac24713f933d174c23e5dc1c0b2c5f516c8f2c0aa30ccd04e153fd54e1,13b487e72330eec35d04087d0938efc53d87feb99c85d5b1df0bb1212ee8dd4d,positive_resource_change,C03M1-RES-0011,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0012,DC-C03-S01-M1,m1-controlled-2026-06-12,19d4fd9a84e83c37ea1c4cde3e424f44aee1ee455d2474432732ce558dd12d4a,3f00500369698c831de539dee52d938e7d33aafecfa68b5c9193705952c766b9,positive_resource_change,C03M1-RES-0012,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0013,DC-C03-S01-M1,m1-controlled-2026-06-12,472b57326a0ef99f934c6586cb66be36c76ccd7d9efa83ffb4a24f685fd74f22,6a5b3cf643626f420e384ae96cef5f3ab9cbe177f50ca5eee030a7917d399162,positive_resource_change,C03M1-RES-0013,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0014,DC-C03-S01-M1,m1-controlled-2026-06-12,59100d02ebac04d98cb1969a5cc2809b8a5d5f9f0c15dbd971391727f843a2c4,c85c45dbe25de136efd20110d29d70427df6385a8769620d99e1bc1ca225c020,positive_resource_change,C03M1-RES-0014,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0015,DC-C03-S01-M1,m1-controlled-2026-06-12,0cce7951d08d38bfd4a20ed772186b824f06683ab89f9ad4a1ceb862fdd1b62c,0642a1bca5d193c5dd95d465bb9d06243ef070b34a09952f465a60b8eed0f0b7,positive_resource_change,C03M1-RES-0015,holdout,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
DC-C03-S01-M1-CAND-0016,DC-C03-S01-M1,m1-controlled-2026-06-12,697405997890e092cd604d918d49ec382545a4256059ff98901a100287646524,c781d2c1d7c52750ed170a9ab42aee841fbc7043947ad8ad2d9118f4f6523549,positive_resource_change,C03M1-RES-0016,dev,controlled synthetic local generation,strong,right APK changes string resources and adds a raw resource marker; base package and classes stay stable
