candidate_pair_id,left_apk_ref,right_apk_ref,left_sha256,right_sha256,left_decode_status,right_decode_status,generation_status,verification_details
DC-C03-S01-M1-CAND-0001,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0001/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0001/right.apk,a602c655c9d1ab66fab57e0acfb7a307cee9d5edf8bf587db66976fc125f00ba,e1919c6dd9b632b1bd1461b7eb27afa03a65023eedb9701a496c4669c8c3f7ca,success,success,success,apktool build/sign/decode ok; right side contains changed resources
DC-C03-S01-M1-CAND-0002,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0002/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0002/right.apk,f0982befcd9713529602c6d6cd29cf31433333582efc0ab6dcc58e5e540901b2,6df5f982c0c78749e905456edebcfff9248ebcbd12194d2bbe7e254eb39be7d8,success,success,success,apktool build/sign/decode ok; right side contains changed resources
DC-C03-S01-M1-CAND-0003,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0003/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0003/right.apk,1be522e7ff8d1d8265eb558b0d811560b3f18692b4ccaeaf3bfd5be538167b32,75edf5943d26a3b55e15e67c0645db7e3e902139222147bb0548f27ad987b7f2,success,success,success,apktool build/sign/decode ok; right side contains changed resources
DC-C03-S01-M1-CAND-0004,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0004/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0004/right.apk,1be22f49e1f117ebf0a7ed6253b02e051fa240f078b8ec2dd0b50a7e50d2735a,9953de683dfddee39927598b59889e8eb4231c3e2fc9c8bad3d298895a97781f,success,success,success,apktool build/sign/decode ok; right side contains changed resources
DC-C03-S01-M1-CAND-0005,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0005/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0005/right.apk,9dcd6a58101e3df189b9790ab35e8f99971fe96b164699f73a00f5e1b891d216,5d01f2d015ac486341a621c67d05e9d35c8f2b60dd430fb2a1944282660db934,success,success,success,apktool build/sign/decode ok; right side contains changed resources
DC-C03-S01-M1-CAND-0006,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0006/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0006/right.apk,30526bdaefd4b273343af37ee0fd4c44104ba988f27b59415ae8646f7c5cedac,faef99e3d21d0db6366597c9e15cbf5f32f2a6243f322f50dd671e95bc61b317,success,success,success,apktool build/sign/decode ok; right side contains changed resources
DC-C03-S01-M1-CAND-0007,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0007/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0007/right.apk,5b73702331f30468e879a6ab952960f84036a9954ea9ec3034a830507ccb484b,1391363e8aefa91c3e48fe2e5960283987a8d7d97082cdd02addfd25dd6072cc,success,success,success,apktool build/sign/decode ok; right side contains changed resources
DC-C03-S01-M1-CAND-0008,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0008/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0008/right.apk,e9e1454d528b7630ca010b4f0684e2643b9fad5d0b0bf4c6892083b41380240e,5bc4cea43e94af2c835836ad30c32bad0a4ef491311f164deb2df0941e5fbd19,success,success,success,apktool build/sign/decode ok; right side contains changed resources
DC-C03-S01-M1-CAND-0009,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0009/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0009/right.apk,078f3b7ecca2b39b6e04194a0a603e2c00daf8280ac25a5b042d31e2edcb23f7,203e6c5fa7b21020cd8f7974c6b1c253501e1c6b01ca65256e406b57e7217d04,success,success,success,apktool build/sign/decode ok; right side contains changed resources
DC-C03-S01-M1-CAND-0010,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0010/left.apk,m1/DC-C03-S01-M1/generated-apks/DC-C03-S01-M1-CAND-0010/right.apk,9a3e15e82d6e5ea695ab64688f95505284de46322a6cd7f3b202ae00183c8031,8c69e1381b0e7fadb1c41d59bcf88f781d73f251e8e6f0f9eb0e28926051e177,success,success,success,apktool build/sign/decode ok; right side contains changed resources
