pair_id,dataset_id,dataset_version,label,split,lineage_group_id,left_sha256,right_sha256,left_feature_status,right_feature_status,pair_feature_status,left_package,right_package,permissions_left,permissions_right,permissions_shared,permissions_jaccard,components_left,components_right,components_shared,components_jaccard,classes_left,classes_right,classes_shared,classes_jaccard,smali_files_left,smali_files_right,methods_left,methods_right,res_files_left,res_files_right,res_paths_shared,res_path_jaccard,notes
DC-C04-S01-M1-CAND-0001,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,dev,C04M1-PKG-0001,46f218a60639507be93b46972200a4b6a5be06bc44623ac3cf1724a77aa68de7,628bccb2ea0b1745a64145fa377a46ce8e60037540932ff4285508cca7060ff3,success,success,success,com.phd.m1.c04.f001,com.phd.m1.c04.renamed.f001,0,0,0,,0,0,0,,6,6,0,0.0000,6,6,12,12,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C04-S01-M1-CAND-0002,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,dev,C04M1-PKG-0002,b3b958fad13878064ad5250a939c44c6f1804f37bc63813f5c6248270ddb1373,fc4940ad402f678ba500d5d5d0d4be8f459db6c6ddb625ec90f9798d41a27a74,success,success,success,com.phd.m1.c04.f002,com.phd.m1.c04.renamed.f002,0,0,0,,0,0,0,,7,7,0,0.0000,7,7,14,14,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C04-S01-M1-CAND-0003,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,dev,C04M1-PKG-0003,73aa1fcf86c35404ac57dee45f34f4623f304f2a248978fd8e40651477746f6c,30f4e361a68e3e3e83c8638cbf51c70758b17d28b74560ce1ae1435ddc3c15c9,success,success,success,com.phd.m1.c04.f003,com.phd.m1.c04.renamed.f003,0,0,0,,0,0,0,,8,8,0,0.0000,8,8,16,16,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C04-S01-M1-CAND-0004,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,dev,C04M1-PKG-0004,a8a7038ab59ef3369694d7f7c4b6d98c5d130e57063423fd2a50686af74fd855,b3d6d358091c9094b84e2c2d50e7b65642e41c6b9ce98d0938c468f89e8bd262,success,success,success,com.phd.m1.c04.f004,com.phd.m1.c04.renamed.f004,0,0,0,,0,0,0,,5,5,0,0.0000,5,5,10,10,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C04-S01-M1-CAND-0005,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,holdout,C04M1-PKG-0005,503afca6c917fba9ba60f69114bf92cb4aad780723be8ab9d3000511914a38b8,e1fdc96485974fbbbeaa7ee8e96c381f8aec11b714adc25cd6e2cb5f40e2c00b,success,success,success,com.phd.m1.c04.f005,com.phd.m1.c04.renamed.f005,0,0,0,,0,0,0,,6,6,0,0.0000,6,6,12,12,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C04-S01-M1-CAND-0006,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,dev,C04M1-PKG-0006,514dce0faca941f6f836e599f30ebdd89c3708e8b493f13f1b8430977b0164fe,ba69912b4e7170a39be578e3ed8846eb606a9892b17cf5fd7a7581f704eaa7da,success,success,success,com.phd.m1.c04.f006,com.phd.m1.c04.renamed.f006,0,0,0,,0,0,0,,7,7,0,0.0000,7,7,14,14,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C04-S01-M1-CAND-0007,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,dev,C04M1-PKG-0007,97d45232215471fb6778682a875de867efc285bc6609cd975249e5d5b5fed1b3,28b67f6bb435490a853bca32d40f77b46819a86a1b73c5f6b4933828e4ffb619,success,success,success,com.phd.m1.c04.f007,com.phd.m1.c04.renamed.f007,0,0,0,,0,0,0,,8,8,0,0.0000,8,8,16,16,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C04-S01-M1-CAND-0008,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,dev,C04M1-PKG-0008,3af249c31b204be34520a361ec4335bdd4f5557e546fb4203db65ecfeaa7dead,56d0fc1e69cfebf2420320610d69a20556407431e50af02f8862f1f64a72db22,success,success,success,com.phd.m1.c04.f008,com.phd.m1.c04.renamed.f008,0,0,0,,0,0,0,,5,5,0,0.0000,5,5,10,10,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C04-S01-M1-CAND-0009,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,dev,C04M1-PKG-0009,4180adf09407667e19649fe28b5f85196dde1a7695c8283b12fcb67bf27529cf,87bf46fb38b59b59b0fbe43ab0da29e27d8526d04256ddb703f1652bd309b5f4,success,success,success,com.phd.m1.c04.f009,com.phd.m1.c04.renamed.f009,0,0,0,,0,0,0,,6,6,0,0.0000,6,6,12,12,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C04-S01-M1-CAND-0010,DC-C04-S01-M1,m1-controlled-2026-06-12,positive_package_rename,holdout,C04M1-PKG-0010,3dda6a0438c5d38161b7850f672a8771488d137dc0de5179d3166e95ebeb684a,6cb2491d372e66bde4ee9c8e082f2d13d40cb629701223ea301a7363eafd6b0a,success,success,success,com.phd.m1.c04.f010,com.phd.m1.c04.renamed.f010,0,0,0,,0,0,0,,7,7,0,0.0000,7,7,14,14,3,3,3,1.0000,covered_by_decode_sanity_summary
