coordinate,dataset_id,pair_id,source_pair_id,pair_role,relation_label,split,split_group_id,left_role,right_role,left_sha256,right_sha256,left_package,right_package,left_feature_status,right_feature_status,pair_feature_status,permissions_jaccard,components_jaccard,classes_jaccard,res_path_jaccard,label_source,label_confidence,source_ref,expected_change,expected_invariants,selection_rule,allowed_use,forbidden_use,evidence_ref
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0001,AZP-PB-0001,positive,positive_piggybacking,dev,AZP-PBG-0001,original,piggybacked,00575de650f78413c91e8e613adf9099812f325aa9cf36c72e81c79b230f58f4,a55ea5807203ce31470d1905ed30f9267ae3459809dda25c4f339197de6486fe,rapscallion.sharq2,rapscallion.sharq2,success,success,success,0.1429,0.3750,0.2982,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0001
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0002,AZP-PB-0002,positive,positive_piggybacking,dev,AZP-PBG-0002,original,piggybacked,006009db95496d4e42281eb18c6e5ca81132de1489f690fd5b805baff6f4a7c4,b5610062146d79ca6cdfdca2f42555aee3c5317fdda76bde40b4bd286b4f6a86,com.gameneeti.game.premiumleague,com.gameneeti.game.premiumleague,success,success,success,0.5000,0.8333,0.9366,0.8276,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0002
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0003,AZP-PB-0003,positive,positive_piggybacking,dev,AZP-PBG-0003,original,piggybacked,009d7e035c1a41ccea8f4332506f3f65b14c673750c1fdb518fad6886a22d931,03e4b7d80a9cb3c2169f2cf4bad1edfbe14d5a3eb5dfc7caeeacb9a6557bac23,com.happymaau.MathRef,com.happymaau.MathRef,success,success,success,0.2222,0.5714,0.5775,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0003
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0004,AZP-PB-0004,positive,positive_piggybacking,dev,AZP-PBG-0004,original,piggybacked,00b04cda4f1c6f3a838b0303ec6142d7420164555f08bf337fab45c6a9b51e35,a7cb7b66eb8af4f27dc856c942ae2b35505b848a4c891e5cafdd4dba9ff60141,com.nlucas.iphonenotifications,com.nlucas.iphonenotifications,success,success,success,1.0000,1.0000,1.0000,0.8011,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0004
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0005,AZP-PB-0005,positive,positive_piggybacking,holdout,AZP-PBG-0005,original,piggybacked,00c381f40f4084f98ce6c7a9a32a1bbc890123e9244f779aefb491eaf9dcf316,2dc27146f98e2c993f38e0af9a1604430c98e8861353a2c79c731668903d087d,com.GroundSpeedOnline.overtakeextrememotolite,com.GroundSpeedOnline.overtakeextrememotolite,success,success,success,0.2500,0.5000,0.7654,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0005
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0006,AZP-PB-0006,positive,positive_piggybacking,dev,AZP-PBG-0006,original,piggybacked,013bd1b87581626cc5bdb185d22d4c36476cf30078ac617b02a855cb2e2dd533,7eb06aa2df84855ee73ab3d9dbd4f5128c5c0c98ed3c31901dfc7568b34b7b34,cn.cf.shop_ele1.taoxiaosan,cn.cf.shop_ele1.taoxiaosan,success,success,success,1.0000,1.0000,1.0000,0.9985,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0006
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0007,AZP-PB-0007,positive,positive_piggybacking,dev,AZP-PBG-0007,original,piggybacked,01402b3eefcdc7b4236f9e51a586def98512db08399b204d223c748a942d0d4b,2d1312b1fe86a88cada84ca97946b3c50e157e5bca251373902837d82e9d08f4,au.com.phil.abduction,au.com.phil.abduction,success,success,success,1.0000,1.0000,1.0000,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0007
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0008,AZP-PB-0008,positive,positive_piggybacking,dev,AZP-PBG-0008,original,piggybacked,01c32411bda45bb4e3c959a9b1fe5de051475e3afb74fecb8d82e5b629812ae1,5513a2cefdfdc8123382392b55447d7d46f6f908d0049274972324352a72ba9d,com.petking5.wipay,com.petking5.wipay,success,success,success,0.9000,0.5000,0.7819,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0008
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0009,AZP-PB-0009,positive,positive_piggybacking,dev,AZP-PBG-0009,original,piggybacked,01d187b35224373928b795974d92ca6396a3496c7eb192de8a4419e29da6848a,200ab30072b1ad52712eb89256fc40f93185b8cf7ea064fee8c4e8d774e9436a,com.sonicmoov.nekoana,com.sonicmoov.nekoana,success,success,success,1.0000,1.0000,1.0000,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0009
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0010,AZP-PB-0010,positive,positive_piggybacking,holdout,AZP-PBG-0010,original,piggybacked,02c76a4c267aba976b6a0cb91a88f1c20e73cdeb7e1ae88eb83632fb76fdd4ef,e57856c984afd9519062b59edb5fb995333db2659cc094e256a39beee8d8a084,com.eragonrd.brakefail,com.eragonrd.brakefail,success,success,success,0.4286,0.4000,0.6667,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0010
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0011,AZP-PB-0011,positive,positive_piggybacking,dev,AZP-PBG-0011,original,piggybacked,02f81f59c60a679b58c918efdfdd9ced368c33c2b13beafd3100fad52d63c9b6,dcfa23ca01108b4a6209547e19bbe1eb6ab6836eea35053c6ca6b7567adaabf4,com.g5e.righteouskill,com.g5e.righteouskill,success,success,success,1.0000,0.5500,0.8398,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0011
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0012,AZP-PB-0012,positive,positive_piggybacking,dev,AZP-PBG-0012,original,piggybacked,032b3ab75a6d39dd52e0a2e87e6b0611a9395dddae828b554f029a658d7ed18d,b2df9856658c9a2366f9974ea73c8d01187a68d1ce39716eb2a9bebbcb0195a2,com.chi.RopeBossHD,com.chi.RopeBossHD,success,success,success,0.5000,0.5000,0.7662,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0012
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0013,AZP-PB-0013,positive,positive_piggybacking,dev,AZP-PBG-0013,original,piggybacked,032fcfc99fdbff2acc6807f431affdf540d45ddb3cba43e99436018e461c70d8,365b7de96c392bcb574dec33fbbd1deacdda448ca6374401a3344c3c44ab9285,com.roidgame.zombieville,com.roidgame.zombieville,success,success,success,0.3333,0.9348,0.9877,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0013
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0014,AZP-PB-0014,positive,positive_piggybacking,dev,AZP-PBG-0014,original,piggybacked,03828a4cd0d2dca3ec3441802fb35665af42a894b5c794be81a8873a3be4fed7,00b4c41891bc44b63a6a1c4b7aca6b9b645b1b8579bac2597d3503dd504f4612,com.Fitness.Pro3D,com.Fitness.Pro3D,success,success,success,0.7143,0.8333,0.8763,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0014
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0015,AZP-PB-0015,positive,positive_piggybacking,holdout,AZP-PBG-0015,original,piggybacked,03ae13c1bc8e498058f54c1e30b5ea145208d27e832721cf5271794f4355acd1,2dce45c852ea20f6731d30a4162fe920a9fbd4892d5193585dcd447f5f5ef4ce,com.mrd.SG3D,com.mrd.SG3D,success,success,success,0.5000,0.9706,0.8395,0.9970,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0015
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0016,AZP-PB-0016,positive,positive_piggybacking,dev,AZP-PBG-0016,original,piggybacked,03c54e3a352343e8208c3a32b1c5ade2731833f59334d18630c3c2ded5f4a31d,7afbb915ff66427dbd8f28535e79a66f10fd193ba925ed73d6d495000598f10c,com.jzzh.runfaster,com.jzzh.runfaster,success,success,success,0.6667,0.1429,0.3600,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0016
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0017,AZP-PB-0017,positive,positive_piggybacking,dev,AZP-PBG-0017,original,piggybacked,040a8b6f58a19f1758438a2bdd7fc8b7bb47e6b1b30c9225243348d2b4a160c8,104ac59bb3cc508e8ab51117f86b8602c3fa75aa05f667ce4a8caf136d90d8a5,com.ansca.corona,com.rex.lacucaracha2,success,success,success,0.2143,0.6818,0.8458,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0017
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0018,AZP-PB-0018,positive,positive_piggybacking,dev,AZP-PBG-0018,original,piggybacked,045a85182df81bac4c14f03b920aaaa161491c915b49492ba0c83bb5d38f1904,c3d7a940ef74ef60c9c98746068b8d09971dfef811b6b32744dbd667fd4c35cc,com.crescentmoongames.siegecraftdefender,com.crescentmoongames.siegecraftdefender,success,success,success,0.9000,0.4615,0.7563,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0018
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0019,AZP-PB-0019,positive,positive_piggybacking,holdout,AZP-PBG-0019,original,piggybacked,04a219fa7693fee8d189d56297282730f09c3ab71453f4b006ed94fecc1c7b0a,f88e28d3231b3577dfb2eccf4322c3720b313629581384fedfc87a46ff60416e,co.ratto.fatvlad,co.ratto.fatvlad,success,success,success,0.2727,0.3529,0.8815,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0019
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-POS-0020,AZP-PB-0020,positive,positive_piggybacking,dev,AZP-PBG-0020,original,piggybacked,04f870138480a86bad3e3608c950460ac47ec68d1bc968de0abc9f95baf6b466,6547908fbc12cc0b98b76608e78b2661582f498852589e19755013d6c68dd9a7,ltd.pte.wavea.recreation,ltd.pte.wavea.recreation,success,success,success,0.1429,0.2222,0.3611,1.0000,Piggybacking label via AZ-PILOT-001,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,payload or rider code added to original APK,carrier lineage should remain visible; package often remains same but may change in some pairs,all materialized C05 positive pairs from M0 pool,"M1 diagnostic inspection, split checks, negative-pair checks, and explanation-tag preparation","No publication-grade quality/F1 claim; this is a small M1 diagnostic set, not a claim-ready benchmark.",AZ-PILOT-001:feature_extraction_smoke_summary.csv:AZP-PB-0020
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-NEG-0001,negative_shift:AZP-PB-0001->AZP-PB-0002,negative,negative_non_clone,dev,NEG-AZP-PBG-0001__AZP-PBG-0002,original,different_original,00575de650f78413c91e8e613adf9099812f325aa9cf36c72e81c79b230f58f4,006009db95496d4e42281eb18c6e5ca81132de1489f690fd5b805baff6f4a7c4,rapscallion.sharq2,com.gameneeti.game.premiumleague,success,success,success,0.3333,0.0000,0.0000,0.0164,deterministic negative sampling from different Piggybacking lineage groups,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,different original applications; not a piggybacking relation,no shared lineage group; split does not cross dev/holdout boundary,"within each split, pair original APK i with original APK i+1 by source_pair_id order",M1 diagnostic negative-pair checks and error analysis,No claim-ready non-clone metric until manual review and frozen split.,AZP-PB-0001:AZP-PB-0002
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-NEG-0002,negative_shift:AZP-PB-0002->AZP-PB-0003,negative,negative_non_clone,dev,NEG-AZP-PBG-0002__AZP-PBG-0003,original,different_original,006009db95496d4e42281eb18c6e5ca81132de1489f690fd5b805baff6f4a7c4,009d7e035c1a41ccea8f4332506f3f65b14c673750c1fdb518fad6886a22d931,com.gameneeti.game.premiumleague,com.happymaau.MathRef,success,success,success,0.3333,0.0000,0.0888,0.0322,deterministic negative sampling from different Piggybacking lineage groups,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,different original applications; not a piggybacking relation,no shared lineage group; split does not cross dev/holdout boundary,"within each split, pair original APK i with original APK i+1 by source_pair_id order",M1 diagnostic negative-pair checks and error analysis,No claim-ready non-clone metric until manual review and frozen split.,AZP-PB-0002:AZP-PB-0003
DC-C05-S01-M1,DC-C05-S01-M1,DC-C05-S01-M1-NEG-0003,negative_shift:AZP-PB-0003->AZP-PB-0004,negative,negative_non_clone,dev,NEG-AZP-PBG-0003__AZP-PBG-0004,original,different_original,009d7e035c1a41ccea8f4332506f3f65b14c673750c1fdb518fad6886a22d931,00b04cda4f1c6f3a838b0303ec6142d7420164555f08bf337fab45c6a9b51e35,com.happymaau.MathRef,com.nlucas.iphonenotifications,success,success,success,0.0000,0.0000,0.0127,0.0211,deterministic negative sampling from different Piggybacking lineage groups,medium,experiments/datasets/cube/m0/DC-C05-S01-M0/manifest.csv,different original applications; not a piggybacking relation,no shared lineage group; split does not cross dev/holdout boundary,"within each split, pair original APK i with original APK i+1 by source_pair_id order",M1 diagnostic negative-pair checks and error analysis,No claim-ready non-clone metric until manual review and frozen split.,AZP-PB-0003:AZP-PB-0004
