candidate_pair_id,left_apk_ref,right_apk_ref,left_sha256,right_sha256,left_decode_status,right_decode_status,generation_status,verification_details
DC-C08-S01-M1-CAND-0001,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0001/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0001/right.apk,aa489f66923418cbddc940fc2c74f6313cce2b2f95669c601bf04b97b49dcac5,31e3e510e16fbff804548b502d2216be024acf9172688a7947d73edd11a8a05a,success,success,success,apktool build/sign/decode ok; class_count 7->4
DC-C08-S01-M1-CAND-0002,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0002/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0002/right.apk,b1019d30e947aa5ae1eb21445d8db352168e31c69f9cfe8a21f3943452f590e1,5a5601b72f8c96e5b4214e2cc83fee3637311f617e1f51031a0dd027941d91bc,success,success,success,apktool build/sign/decode ok; class_count 8->5
DC-C08-S01-M1-CAND-0003,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0003/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0003/right.apk,16822a33db49dc931d3ff5ca7e03fffe9513cc57a2f5f4b3b761b7c25f16842d,d05c6bb54bfaf3c591e0f17e11de8c0213ec07089d6081115042220fc588d49d,success,success,success,apktool build/sign/decode ok; class_count 9->6
DC-C08-S01-M1-CAND-0004,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0004/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0004/right.apk,5971b386fa88ea86c438301d642b2dc2cf056ceb058b762e444cfadfc996dc16,f175f0bbcb1173e470d0b190935605f0a27aa3ffd75b9d36fe30bedf2febb49e,success,success,success,apktool build/sign/decode ok; class_count 10->7
DC-C08-S01-M1-CAND-0005,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0005/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0005/right.apk,a571c7d78efa020336ea3d7889760123d1ffdda46320285f49f77f848c0d0b0b,e46ac4d57ea2829545c5edf3b26434df83a43860573dba7fd7e4644793dea461,success,success,success,apktool build/sign/decode ok; class_count 6->3
DC-C08-S01-M1-CAND-0006,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0006/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0006/right.apk,781f28185008b3ae83d9bfae83ab3c79a82414d3ce7f58c32cbf658128ca18e9,3266baa6ff4f20799b5d240b5dfc1240962f7abdf2faa746966f7dc3837970e1,success,success,success,apktool build/sign/decode ok; class_count 7->4
DC-C08-S01-M1-CAND-0007,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0007/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0007/right.apk,27ab8afe11878a10ca3482e37d977cb6ac4e973d7be33f35741b58236a2ed62b,e52870b799ec8961dca23ef4d602c966be750e45e810592a34714ca35fd65510,success,success,success,apktool build/sign/decode ok; class_count 8->5
DC-C08-S01-M1-CAND-0008,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0008/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0008/right.apk,758bc816a5a1f793fb1b2c84329a6c23bf8090e193c66499212ff8b90bb647d3,aeba28df6df3330e14cd2b8a5a22099538a38a990d1c97c6294b2604a510494e,success,success,success,apktool build/sign/decode ok; class_count 9->6
DC-C08-S01-M1-CAND-0009,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0009/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0009/right.apk,7903077f21dffbabc007df5b33eadee29d875eeb970f0a4ff102fcdc3caeb557,0422322268f1ed97b5ee65dd2c0cc8753c7b780fa929ab9e2e517e85785ecb98,success,success,success,apktool build/sign/decode ok; class_count 10->7
DC-C08-S01-M1-CAND-0010,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0010/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0010/right.apk,54425c21f493958a1b810e7e6559dc33d95097b676b82eee09b9f1d946c12d03,77a35fefb7bcd062312973572e2e6b766c0ea1b3fbf566be30d707b398fc39d0,success,success,success,apktool build/sign/decode ok; class_count 6->3
DC-C08-S01-M1-CAND-0011,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0011/left.apk,m1/DC-C08-S01-M1/generated-apks/DC-C08-S01-M1-CAND-0011/right.apk,7d1136babc0692f9b46bc8b534722ca5bbd6cccf538ec7e6c7d79b0f7de65084,171c4f206f87d1e8de39ea367eeadcd6a6b3f38a87f03d9e9b677d575b2e7bad,success,success,success,apktool build/sign/decode ok; class_count 7->4
