sha256,queue_id,decode_status,failure_class,decoded_dir,manifest_exists,apktool_yml_exists,smali_dir_count,res_exists,assets_exists,lib_exists,file_count
8eb4e4f213a1f844177033f0ebf1f5ea153c0cc4b4e79ac596077c75571227ce,DC-C09-S01-M1-CAND-0001-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0001/left,true,true,1,true,false,false,20
641ac1a536c6b7e4d52f843fea64b98b871c355f5cf6518977dadf11628386b0,DC-C09-S01-M1-CAND-0001-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0001/right,true,true,2,true,false,false,20
7bc0daf1d85e69aa61cef8bef40621bbffecf9cf2e6d75a04b8b79fd29ca9beb,DC-C09-S01-M1-CAND-0002-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0002/left,true,true,1,true,false,false,21
73e06484113e2614b3ad658773da7896b3e99db877282209a7190707b4a75303,DC-C09-S01-M1-CAND-0002-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0002/right,true,true,2,true,false,false,21
c448094554fe5d5c600188aed87b0e265858bbeb0cd15ff54d9f3e8fd9eafecf,DC-C09-S01-M1-CAND-0003-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0003/left,true,true,1,true,false,false,22
fac3f97e95e5f3f19bb47a2f3d96f504e65cde85c51f242fc5316348031b50ad,DC-C09-S01-M1-CAND-0003-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0003/right,true,true,2,true,false,false,22
3cb707376d89cad68809cb9467dbe7f58dc251284fe4967d58ebc0611335bfd1,DC-C09-S01-M1-CAND-0004-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0004/left,true,true,1,true,false,false,19
3de4b84fd787c80cddb4d34a644a62026ebd912a6b682027cb19b40aca992dc1,DC-C09-S01-M1-CAND-0004-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0004/right,true,true,2,true,false,false,19
f04cd1300d6831ad55638c600773aea371aff72d0854a551313a7aad9b4c78c9,DC-C09-S01-M1-CAND-0005-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0005/left,true,true,1,true,false,false,20
b23ac63732890e099b5a3e9bf137071a4e44443f976f6073cd8f21de7441a18a,DC-C09-S01-M1-CAND-0005-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0005/right,true,true,2,true,false,false,20
7ac1f1edc533174438fcee9c81c4f166874381443f238149322f70ac3124fa5e,DC-C09-S01-M1-CAND-0006-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0006/left,true,true,1,true,false,false,21
055c9c23e30a671d9c6cd416fc82d9cc1a58772bb03dc5e59775075d31f2d795,DC-C09-S01-M1-CAND-0006-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0006/right,true,true,2,true,false,false,21
052b9c89244ebe0e0b06ee8de0bd7bd9d75f166c61a72cd1e2b325dd8bdaf3be,DC-C09-S01-M1-CAND-0007-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0007/left,true,true,1,true,false,false,22
24b232661cfc804d3c5d446b820eaf1077f897682346564fb92e264d59a1920b,DC-C09-S01-M1-CAND-0007-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0007/right,true,true,2,true,false,false,22
a5e660b36d4c13b702ec8ec7371ce2a6ec576d65db20e2e6e5fd795724436859,DC-C09-S01-M1-CAND-0008-LEFT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0008/left,true,true,1,true,false,false,19
83a4fdef1875ca201cf06139ff3e0d1e8b6d09a29782ec1d24923b4468548267,DC-C09-S01-M1-CAND-0008-RIGHT,success,,local-verify-not-published/DC-C09-S01-M1/DC-C09-S01-M1-CAND-0008/right,true,true,2,true,false,false,19
