candidate_pair_id,left_apk_ref,right_apk_ref,left_sha256,right_sha256,left_decode_status,right_decode_status,generation_status,verification_details
DC-C09-S01-M1-CAND-0001,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0001/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0001/right.apk,8eb4e4f213a1f844177033f0ebf1f5ea153c0cc4b4e79ac596077c75571227ce,641ac1a536c6b7e4d52f843fea64b98b871c355f5cf6518977dadf11628386b0,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0002,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0002/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0002/right.apk,7bc0daf1d85e69aa61cef8bef40621bbffecf9cf2e6d75a04b8b79fd29ca9beb,73e06484113e2614b3ad658773da7896b3e99db877282209a7190707b4a75303,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0003,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0003/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0003/right.apk,c448094554fe5d5c600188aed87b0e265858bbeb0cd15ff54d9f3e8fd9eafecf,fac3f97e95e5f3f19bb47a2f3d96f504e65cde85c51f242fc5316348031b50ad,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0004,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0004/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0004/right.apk,3cb707376d89cad68809cb9467dbe7f58dc251284fe4967d58ebc0611335bfd1,3de4b84fd787c80cddb4d34a644a62026ebd912a6b682027cb19b40aca992dc1,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0005,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0005/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0005/right.apk,f04cd1300d6831ad55638c600773aea371aff72d0854a551313a7aad9b4c78c9,b23ac63732890e099b5a3e9bf137071a4e44443f976f6073cd8f21de7441a18a,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0006,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0006/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0006/right.apk,7ac1f1edc533174438fcee9c81c4f166874381443f238149322f70ac3124fa5e,055c9c23e30a671d9c6cd416fc82d9cc1a58772bb03dc5e59775075d31f2d795,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0007,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0007/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0007/right.apk,052b9c89244ebe0e0b06ee8de0bd7bd9d75f166c61a72cd1e2b325dd8bdaf3be,24b232661cfc804d3c5d446b820eaf1077f897682346564fb92e264d59a1920b,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0008,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0008/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0008/right.apk,a5e660b36d4c13b702ec8ec7371ce2a6ec576d65db20e2e6e5fd795724436859,83a4fdef1875ca201cf06139ff3e0d1e8b6d09a29782ec1d24923b4468548267,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0009,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0009/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0009/right.apk,c34f8c236c2ae4f807b8066d681949e0fc2d737cfe96c0da3d401ae8471fd99e,28ee10426a0d8cb40c81fca639edf73721d5e8c2e84902d2440756352d509aba,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0010,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0010/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0010/right.apk,a9b4bac0e2ffeafa0233c30098de7c4c236f9643391f28dd6412f4e399e30de1,51e15704cfa130231068fce8c4454103230fe1fbf3a847be8cdb67055927d517,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0011,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0011/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0011/right.apk,761b5cdfaaca2fc361cfcf41f23883caaa0d7f36673a707a294e2706cddbd719,e9f1214b8956936070e2aa44de30693ea07bbe73ffb73f3939626943a9295d49,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0012,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0012/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0012/right.apk,8991171f9808fe37197bd0189efafc3c153d1cd367222e7e7939a5f267e7564c,de3cbfb6f629eff18f0d1ba01a880024923d005d4d5dc9b4fbbc73d8275931ab,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0013,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0013/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0013/right.apk,88a6267b2e14b3c9d8da450e4dae5db89f77f249abebcfd3a945c383560d0e8b,8346b5267ad5d58ee085f7b7b4fa760a1783d1ac78564d41bded0289c6ebb671,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0014,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0014/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0014/right.apk,2aa58c997381b50a7d6ac34fa92612918864a2aed284c69c9cf27b47f75e43bf,272974b6e7a91823dcb70b0c257874b95d34cbb416b599a517f81a8be86a3307,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
DC-C09-S01-M1-CAND-0015,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0015/left.apk,m1/DC-C09-S01-M1/generated-apks/DC-C09-S01-M1-CAND-0015/right.apk,6a96e3d5ed8ed631c5f9c5893fb2d7289ce96d5bea20b684fbd8a2ffe5f85de1,d5071a4b1dde7fcfd30a3ce6193f0ac32b4ef533b28cd70e5ff4f5ce5f1f5458,success,success,success,apktool build/sign/decode ok; right_has_classes2.dex=True
