sha256,queue_id,decode_status,failure_class,decoded_dir,manifest_exists,apktool_yml_exists,smali_dir_count,res_exists,assets_exists,lib_exists,file_count
0d77c59e5352d05ca9bb439ac0103e6006b47f285408c0fd7c993a5a50827f3f,DC-F01-S06-M1-CASE-0001,success,,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0001,true,true,0,true,false,false,9
e6927664b6f81a822a4f6c901f1b91b92004b71768be51bae629e4fc03814f9a,DC-F01-S06-M1-CASE-0002,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0002,false,false,0,false,false,false,0
fcc387e8403e7b5c5bef9825090e277f9edb4f59df3d131d2434900ca7ecfeb1,DC-F01-S06-M1-CASE-0003,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0003,true,false,1,false,false,false,1
bef7705670ef42fc36bf454735138a49e3def5a2b5e0f4379b6540a70fb1f13e,DC-F01-S06-M1-CASE-0004,failed,decode_timeout,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0004,false,false,0,false,false,false,0
44353ea30720bdbfbae7f1a8781b4c6195218169888f11e35d17d803f5d9d9bc,DC-F01-S06-M1-CASE-0005,success,,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0005,true,true,0,true,false,false,9
d69c48a4039c00b50526ea20efcb9207bd1f364fa57a7d1d43c095483bba18ee,DC-F01-S06-M1-CASE-0006,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0006,false,false,0,false,false,false,0
be81c7769a1a964dffbc761dda7c05ef771abc9fa9564268aaa7c1f7177fbcac,DC-F01-S06-M1-CASE-0007,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0007,true,false,1,false,false,false,1
81d4a393e7953b44b11bec4dbc740c58b5f71b3874d9a4afb2213198e005db72,DC-F01-S06-M1-CASE-0008,failed,decode_timeout,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0008,false,false,0,false,false,false,0
7014f519f85d0a0bedd5dd2af6ceb6712620915fa40f8b166e61876dc1448f9a,DC-F01-S06-M1-CASE-0009,success,,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0009,true,true,0,true,false,false,9
126983cd923c148bd272aef85eae049dd24650faeee43fce09f94f96c1dbb44d,DC-F01-S06-M1-CASE-0010,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0010,false,false,0,false,false,false,0
60e773c5b976aeeb279fedc461e84119baffa1e1e19306a5eff2dd3a814d316f,DC-F01-S06-M1-CASE-0011,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0011,true,false,1,false,false,false,1
4cf2459355a54825d6c77d91d787eb12c292171efa9b90b1d7a0e17d1a4550ab,DC-F01-S06-M1-CASE-0012,failed,decode_timeout,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0012,false,false,0,false,false,false,0
8ba3279d98839b24f67e79b6f98dbac331f67dbf568b2f6118d014866967d8ac,DC-F01-S06-M1-CASE-0013,success,,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0013,true,true,0,true,false,false,9
fd510c38ebfae625cd4d64b3875c1668ca7d9e63164c6833a00c34400b829593,DC-F01-S06-M1-CASE-0014,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0014,false,false,0,false,false,false,0
e42bf1ec70f0690def0df3b0781c8a80ed0e8b0ae4124b06acf9f3577478b856,DC-F01-S06-M1-CASE-0015,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0015,true,false,1,false,false,false,1
16e3a446744efa9565c004289d9dcb2d915aa79d90cddb2c37392da70591f77d,DC-F01-S06-M1-CASE-0016,failed,decode_timeout,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0016,false,false,0,false,false,false,0
4f96a09ea3365670a2f309289e195eed087d44e20f98157f41aaed2d0ab1082d,DC-F01-S06-M1-CASE-0017,success,,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0017,true,true,0,true,false,false,9
4e708ac92273f4556f8034f25c8c5290d73c27170f24aa7636e064270ab03c15,DC-F01-S06-M1-CASE-0018,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0018,false,false,0,false,false,false,0
076533d21efaa073586330b2538d5e8f4d32c024baf0d96a11db0f928c57128a,DC-F01-S06-M1-CASE-0019,failed,apktool_androlib_error,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0019,true,false,1,false,false,false,1
14cd37ae28840ece149024f1f8d67847559a78cb23c3bced1f7088b130c60027,DC-F01-S06-M1-CASE-0020,failed,decode_timeout,local-verify-not-published/DC-F01-S06-M1/DC-F01-S06-M1-CASE-0020,false,false,0,false,false,false,0
