case_id,dataset_id,dataset_version,sha256,apk_ref,failure_label,failure_family,split,lineage_group_id,ground_truth_source,label_confidence,notes
DC-F01-S06-M1-CASE-0001,DC-F01-S06-M1,m1-controlled-2026-06-12,0d77c59e5352d05ca9bb439ac0103e6006b47f285408c0fd7c993a5a50827f3f,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0001/input.apk,code_empty_apk,code_empty_apk,dev,F01M1-CODE-EMPTY-APK-0001,controlled synthetic local failure generation,strong,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0002,DC-F01-S06-M1,m1-controlled-2026-06-12,e6927664b6f81a822a4f6c901f1b91b92004b71768be51bae629e4fc03814f9a,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0002/input.apk,malformed_or_non_apk,malformed_apk,dev,F01M1-MALFORMED-APK-0002,controlled synthetic local failure generation,strong,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0003,DC-F01-S06-M1,m1-controlled-2026-06-12,fcc387e8403e7b5c5bef9825090e277f9edb4f59df3d131d2434900ca7ecfeb1,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0003/input.apk,unpack_failed,unpack_failed,dev,F01M1-UNPACK-FAILED-0003,controlled synthetic local failure generation,strong,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
DC-F01-S06-M1-CASE-0004,DC-F01-S06-M1,m1-controlled-2026-06-12,bef7705670ef42fc36bf454735138a49e3def5a2b5e0f4379b6540a70fb1f13e,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0004/input.apk,decode_timeout,decode_timeout,dev,F01M1-DECODE-TIMEOUT-0004,controlled synthetic local failure generation,strong,valid APK generated; decode is intentionally run with 0.001s timeout
DC-F01-S06-M1-CASE-0005,DC-F01-S06-M1,m1-controlled-2026-06-12,44353ea30720bdbfbae7f1a8781b4c6195218169888f11e35d17d803f5d9d9bc,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0005/input.apk,code_empty_apk,code_empty_apk,holdout,F01M1-CODE-EMPTY-APK-0005,controlled synthetic local failure generation,strong,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0006,DC-F01-S06-M1,m1-controlled-2026-06-12,d69c48a4039c00b50526ea20efcb9207bd1f364fa57a7d1d43c095483bba18ee,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0006/input.apk,malformed_or_non_apk,malformed_apk,dev,F01M1-MALFORMED-APK-0006,controlled synthetic local failure generation,strong,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0007,DC-F01-S06-M1,m1-controlled-2026-06-12,be81c7769a1a964dffbc761dda7c05ef771abc9fa9564268aaa7c1f7177fbcac,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0007/input.apk,unpack_failed,unpack_failed,dev,F01M1-UNPACK-FAILED-0007,controlled synthetic local failure generation,strong,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
DC-F01-S06-M1-CASE-0008,DC-F01-S06-M1,m1-controlled-2026-06-12,81d4a393e7953b44b11bec4dbc740c58b5f71b3874d9a4afb2213198e005db72,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0008/input.apk,decode_timeout,decode_timeout,dev,F01M1-DECODE-TIMEOUT-0008,controlled synthetic local failure generation,strong,valid APK generated; decode is intentionally run with 0.001s timeout
DC-F01-S06-M1-CASE-0009,DC-F01-S06-M1,m1-controlled-2026-06-12,7014f519f85d0a0bedd5dd2af6ceb6712620915fa40f8b166e61876dc1448f9a,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0009/input.apk,code_empty_apk,code_empty_apk,dev,F01M1-CODE-EMPTY-APK-0009,controlled synthetic local failure generation,strong,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0010,DC-F01-S06-M1,m1-controlled-2026-06-12,126983cd923c148bd272aef85eae049dd24650faeee43fce09f94f96c1dbb44d,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0010/input.apk,malformed_or_non_apk,malformed_apk,holdout,F01M1-MALFORMED-APK-0010,controlled synthetic local failure generation,strong,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0011,DC-F01-S06-M1,m1-controlled-2026-06-12,60e773c5b976aeeb279fedc461e84119baffa1e1e19306a5eff2dd3a814d316f,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0011/input.apk,unpack_failed,unpack_failed,dev,F01M1-UNPACK-FAILED-0011,controlled synthetic local failure generation,strong,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
DC-F01-S06-M1-CASE-0012,DC-F01-S06-M1,m1-controlled-2026-06-12,4cf2459355a54825d6c77d91d787eb12c292171efa9b90b1d7a0e17d1a4550ab,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0012/input.apk,decode_timeout,decode_timeout,dev,F01M1-DECODE-TIMEOUT-0012,controlled synthetic local failure generation,strong,valid APK generated; decode is intentionally run with 0.001s timeout
DC-F01-S06-M1-CASE-0013,DC-F01-S06-M1,m1-controlled-2026-06-12,8ba3279d98839b24f67e79b6f98dbac331f67dbf568b2f6118d014866967d8ac,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0013/input.apk,code_empty_apk,code_empty_apk,dev,F01M1-CODE-EMPTY-APK-0013,controlled synthetic local failure generation,strong,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0014,DC-F01-S06-M1,m1-controlled-2026-06-12,fd510c38ebfae625cd4d64b3875c1668ca7d9e63164c6833a00c34400b829593,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0014/input.apk,malformed_or_non_apk,malformed_apk,dev,F01M1-MALFORMED-APK-0014,controlled synthetic local failure generation,strong,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0015,DC-F01-S06-M1,m1-controlled-2026-06-12,e42bf1ec70f0690def0df3b0781c8a80ed0e8b0ae4124b06acf9f3577478b856,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0015/input.apk,unpack_failed,unpack_failed,holdout,F01M1-UNPACK-FAILED-0015,controlled synthetic local failure generation,strong,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
DC-F01-S06-M1-CASE-0016,DC-F01-S06-M1,m1-controlled-2026-06-12,16e3a446744efa9565c004289d9dcb2d915aa79d90cddb2c37392da70591f77d,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0016/input.apk,decode_timeout,decode_timeout,dev,F01M1-DECODE-TIMEOUT-0016,controlled synthetic local failure generation,strong,valid APK generated; decode is intentionally run with 0.001s timeout
DC-F01-S06-M1-CASE-0017,DC-F01-S06-M1,m1-controlled-2026-06-12,4f96a09ea3365670a2f309289e195eed087d44e20f98157f41aaed2d0ab1082d,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0017/input.apk,code_empty_apk,code_empty_apk,dev,F01M1-CODE-EMPTY-APK-0017,controlled synthetic local failure generation,strong,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0018,DC-F01-S06-M1,m1-controlled-2026-06-12,4e708ac92273f4556f8034f25c8c5290d73c27170f24aa7636e064270ab03c15,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0018/input.apk,malformed_or_non_apk,malformed_apk,dev,F01M1-MALFORMED-APK-0018,controlled synthetic local failure generation,strong,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0019,DC-F01-S06-M1,m1-controlled-2026-06-12,076533d21efaa073586330b2538d5e8f4d32c024baf0d96a11db0f928c57128a,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0019/input.apk,unpack_failed,unpack_failed,dev,F01M1-UNPACK-FAILED-0019,controlled synthetic local failure generation,strong,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
