case_id,apk_ref,sha256,artifact_kind,decode_status,decode_failure_class,generation_status,verification_details
DC-F01-S06-M1-CASE-0001,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0001/input.apk,0d77c59e5352d05ca9bb439ac0103e6006b47f285408c0fd7c993a5a50827f3f,valid_apk_without_classes_dex,success,,success,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0002,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0002/input.apk,e6927664b6f81a822a4f6c901f1b91b92004b71768be51bae629e4fc03814f9a,non_zip_non_apk_blob,failed,apktool_androlib_error,success,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0003,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0003/input.apk,fcc387e8403e7b5c5bef9825090e277f9edb4f59df3d131d2434900ca7ecfeb1,zip_with_invalid_android_payload,failed,apktool_androlib_error,success,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
DC-F01-S06-M1-CASE-0004,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0004/input.apk,bef7705670ef42fc36bf454735138a49e3def5a2b5e0f4379b6540a70fb1f13e,valid_apk_timeout_probe,failed,decode_timeout,success,valid APK generated; decode is intentionally run with 0.001s timeout
DC-F01-S06-M1-CASE-0005,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0005/input.apk,44353ea30720bdbfbae7f1a8781b4c6195218169888f11e35d17d803f5d9d9bc,valid_apk_without_classes_dex,success,,success,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0006,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0006/input.apk,d69c48a4039c00b50526ea20efcb9207bd1f364fa57a7d1d43c095483bba18ee,non_zip_non_apk_blob,failed,apktool_androlib_error,success,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0007,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0007/input.apk,be81c7769a1a964dffbc761dda7c05ef771abc9fa9564268aaa7c1f7177fbcac,zip_with_invalid_android_payload,failed,apktool_androlib_error,success,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
DC-F01-S06-M1-CASE-0008,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0008/input.apk,81d4a393e7953b44b11bec4dbc740c58b5f71b3874d9a4afb2213198e005db72,valid_apk_timeout_probe,failed,decode_timeout,success,valid APK generated; decode is intentionally run with 0.001s timeout
DC-F01-S06-M1-CASE-0009,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0009/input.apk,7014f519f85d0a0bedd5dd2af6ceb6712620915fa40f8b166e61876dc1448f9a,valid_apk_without_classes_dex,success,,success,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0010,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0010/input.apk,126983cd923c148bd272aef85eae049dd24650faeee43fce09f94f96c1dbb44d,non_zip_non_apk_blob,failed,apktool_androlib_error,success,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0011,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0011/input.apk,60e773c5b976aeeb279fedc461e84119baffa1e1e19306a5eff2dd3a814d316f,zip_with_invalid_android_payload,failed,apktool_androlib_error,success,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
DC-F01-S06-M1-CASE-0012,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0012/input.apk,4cf2459355a54825d6c77d91d787eb12c292171efa9b90b1d7a0e17d1a4550ab,valid_apk_timeout_probe,failed,decode_timeout,success,valid APK generated; decode is intentionally run with 0.001s timeout
DC-F01-S06-M1-CASE-0013,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0013/input.apk,8ba3279d98839b24f67e79b6f98dbac331f67dbf568b2f6118d014866967d8ac,valid_apk_without_classes_dex,success,,success,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0014,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0014/input.apk,fd510c38ebfae625cd4d64b3875c1668ca7d9e63164c6833a00c34400b829593,non_zip_non_apk_blob,failed,apktool_androlib_error,success,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0015,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0015/input.apk,e42bf1ec70f0690def0df3b0781c8a80ed0e8b0ae4124b06acf9f3577478b856,zip_with_invalid_android_payload,failed,apktool_androlib_error,success,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
DC-F01-S06-M1-CASE-0016,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0016/input.apk,16e3a446744efa9565c004289d9dcb2d915aa79d90cddb2c37392da70591f77d,valid_apk_timeout_probe,failed,decode_timeout,success,valid APK generated; decode is intentionally run with 0.001s timeout
DC-F01-S06-M1-CASE-0017,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0017/input.apk,4f96a09ea3365670a2f309289e195eed087d44e20f98157f41aaed2d0ab1082d,valid_apk_without_classes_dex,success,,success,apktool build/sign/decode ok; no smali dirs/classes expected
DC-F01-S06-M1-CASE-0018,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0018/input.apk,4e708ac92273f4556f8034f25c8c5290d73c27170f24aa7636e064270ab03c15,non_zip_non_apk_blob,failed,apktool_androlib_error,success,non-APK bytes written with .apk extension; apktool should fail
DC-F01-S06-M1-CASE-0019,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0019/input.apk,076533d21efaa073586330b2538d5e8f4d32c024baf0d96a11db0f928c57128a,zip_with_invalid_android_payload,failed,apktool_androlib_error,success,ZIP container has invalid AndroidManifest.xml/classes.dex; apktool should fail
DC-F01-S06-M1-CASE-0020,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0020/input.apk,14cd37ae28840ece149024f1f8d67847559a78cb23c3bced1f7088b130c60027,valid_apk_timeout_probe,failed,decode_timeout,success,valid APK generated; decode is intentionally run with 0.001s timeout
