coordinate,dataset_id,case_id,case_role,failure_label,failure_family,split,lineage_group_id,sha256,apk_ref,artifact_kind,decode_status,decode_failure_class,representation_status,expected_failure_stage,expected_failure_class,label_source,label_confidence,source_ref,selection_rule,allowed_use,forbidden_use,evidence_ref
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0001,failure_case,code_empty_apk,code_empty_apk,dev,F01M1-CODE-EMPTY-APK-0001,0d77c59e5352d05ca9bb439ac0103e6006b47f285408c0fd7c993a5a50827f3f,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0001/input.apk,valid_apk_without_classes_dex,success,,expected_analysis_failed_after_decode,representation_build,code_empty_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0002,failure_case,malformed_or_non_apk,malformed_apk,dev,F01M1-MALFORMED-APK-0002,e6927664b6f81a822a4f6c901f1b91b92004b71768be51bae629e4fc03814f9a,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0002/input.apk,non_zip_non_apk_blob,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,malformed_or_non_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0003,failure_case,unpack_failed,unpack_failed,dev,F01M1-UNPACK-FAILED-0003,fcc387e8403e7b5c5bef9825090e277f9edb4f59df3d131d2434900ca7ecfeb1,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0003/input.apk,zip_with_invalid_android_payload,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,unpack_failed,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0004,failure_case,decode_timeout,decode_timeout,dev,F01M1-DECODE-TIMEOUT-0004,bef7705670ef42fc36bf454735138a49e3def5a2b5e0f4379b6540a70fb1f13e,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0004/input.apk,valid_apk_timeout_probe,failed,decode_timeout,expected_analysis_failed,decode_sanity,decode_timeout,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0005,failure_case,code_empty_apk,code_empty_apk,holdout,F01M1-CODE-EMPTY-APK-0005,44353ea30720bdbfbae7f1a8781b4c6195218169888f11e35d17d803f5d9d9bc,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0005/input.apk,valid_apk_without_classes_dex,success,,expected_analysis_failed_after_decode,representation_build,code_empty_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0006,failure_case,malformed_or_non_apk,malformed_apk,dev,F01M1-MALFORMED-APK-0006,d69c48a4039c00b50526ea20efcb9207bd1f364fa57a7d1d43c095483bba18ee,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0006/input.apk,non_zip_non_apk_blob,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,malformed_or_non_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0007,failure_case,unpack_failed,unpack_failed,dev,F01M1-UNPACK-FAILED-0007,be81c7769a1a964dffbc761dda7c05ef771abc9fa9564268aaa7c1f7177fbcac,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0007/input.apk,zip_with_invalid_android_payload,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,unpack_failed,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0008,failure_case,decode_timeout,decode_timeout,dev,F01M1-DECODE-TIMEOUT-0008,81d4a393e7953b44b11bec4dbc740c58b5f71b3874d9a4afb2213198e005db72,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0008/input.apk,valid_apk_timeout_probe,failed,decode_timeout,expected_analysis_failed,decode_sanity,decode_timeout,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0009,failure_case,code_empty_apk,code_empty_apk,dev,F01M1-CODE-EMPTY-APK-0009,7014f519f85d0a0bedd5dd2af6ceb6712620915fa40f8b166e61876dc1448f9a,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0009/input.apk,valid_apk_without_classes_dex,success,,expected_analysis_failed_after_decode,representation_build,code_empty_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0010,failure_case,malformed_or_non_apk,malformed_apk,holdout,F01M1-MALFORMED-APK-0010,126983cd923c148bd272aef85eae049dd24650faeee43fce09f94f96c1dbb44d,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0010/input.apk,non_zip_non_apk_blob,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,malformed_or_non_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
