case_id,change_tag,tag_source,tag_confidence,tag_evidence
DC-F01-S06-M1-CASE-0001,analysis_failure,controlled_generation_rule,strong,code_empty_apk
DC-F01-S06-M1-CASE-0001,code_empty_apk,controlled_generation_rule,strong,valid_apk_without_classes_dex
DC-F01-S06-M1-CASE-0002,analysis_failure,controlled_generation_rule,strong,malformed_or_non_apk
DC-F01-S06-M1-CASE-0002,malformed_apk,controlled_generation_rule,strong,non_zip_non_apk_blob
DC-F01-S06-M1-CASE-0003,analysis_failure,controlled_generation_rule,strong,unpack_failed
DC-F01-S06-M1-CASE-0003,unpack_failed,controlled_generation_rule,strong,zip_with_invalid_android_payload
DC-F01-S06-M1-CASE-0004,analysis_failure,controlled_generation_rule,strong,decode_timeout
DC-F01-S06-M1-CASE-0004,decode_timeout,controlled_generation_rule,strong,valid_apk_timeout_probe
DC-F01-S06-M1-CASE-0005,analysis_failure,controlled_generation_rule,strong,code_empty_apk
DC-F01-S06-M1-CASE-0005,code_empty_apk,controlled_generation_rule,strong,valid_apk_without_classes_dex
DC-F01-S06-M1-CASE-0006,analysis_failure,controlled_generation_rule,strong,malformed_or_non_apk
DC-F01-S06-M1-CASE-0006,malformed_apk,controlled_generation_rule,strong,non_zip_non_apk_blob
DC-F01-S06-M1-CASE-0007,analysis_failure,controlled_generation_rule,strong,unpack_failed
DC-F01-S06-M1-CASE-0007,unpack_failed,controlled_generation_rule,strong,zip_with_invalid_android_payload
DC-F01-S06-M1-CASE-0008,analysis_failure,controlled_generation_rule,strong,decode_timeout
DC-F01-S06-M1-CASE-0008,decode_timeout,controlled_generation_rule,strong,valid_apk_timeout_probe
DC-F01-S06-M1-CASE-0009,analysis_failure,controlled_generation_rule,strong,code_empty_apk
DC-F01-S06-M1-CASE-0009,code_empty_apk,controlled_generation_rule,strong,valid_apk_without_classes_dex
DC-F01-S06-M1-CASE-0010,analysis_failure,controlled_generation_rule,strong,malformed_or_non_apk
DC-F01-S06-M1-CASE-0010,malformed_apk,controlled_generation_rule,strong,non_zip_non_apk_blob
DC-F01-S06-M1-CASE-0011,analysis_failure,controlled_generation_rule,strong,unpack_failed
DC-F01-S06-M1-CASE-0011,unpack_failed,controlled_generation_rule,strong,zip_with_invalid_android_payload
DC-F01-S06-M1-CASE-0012,analysis_failure,controlled_generation_rule,strong,decode_timeout
DC-F01-S06-M1-CASE-0012,decode_timeout,controlled_generation_rule,strong,valid_apk_timeout_probe
DC-F01-S06-M1-CASE-0013,analysis_failure,controlled_generation_rule,strong,code_empty_apk
DC-F01-S06-M1-CASE-0013,code_empty_apk,controlled_generation_rule,strong,valid_apk_without_classes_dex
DC-F01-S06-M1-CASE-0014,analysis_failure,controlled_generation_rule,strong,malformed_or_non_apk
DC-F01-S06-M1-CASE-0014,malformed_apk,controlled_generation_rule,strong,non_zip_non_apk_blob
DC-F01-S06-M1-CASE-0015,analysis_failure,controlled_generation_rule,strong,unpack_failed
DC-F01-S06-M1-CASE-0015,unpack_failed,controlled_generation_rule,strong,zip_with_invalid_android_payload
DC-F01-S06-M1-CASE-0016,analysis_failure,controlled_generation_rule,strong,decode_timeout
DC-F01-S06-M1-CASE-0016,decode_timeout,controlled_generation_rule,strong,valid_apk_timeout_probe
DC-F01-S06-M1-CASE-0017,analysis_failure,controlled_generation_rule,strong,code_empty_apk
DC-F01-S06-M1-CASE-0017,code_empty_apk,controlled_generation_rule,strong,valid_apk_without_classes_dex
DC-F01-S06-M1-CASE-0018,analysis_failure,controlled_generation_rule,strong,malformed_or_non_apk
DC-F01-S06-M1-CASE-0018,malformed_apk,controlled_generation_rule,strong,non_zip_non_apk_blob
DC-F01-S06-M1-CASE-0019,analysis_failure,controlled_generation_rule,strong,unpack_failed
DC-F01-S06-M1-CASE-0019,unpack_failed,controlled_generation_rule,strong,zip_with_invalid_android_payload
DC-F01-S06-M1-CASE-0020,analysis_failure,controlled_generation_rule,strong,decode_timeout
DC-F01-S06-M1-CASE-0020,decode_timeout,controlled_generation_rule,strong,valid_apk_timeout_probe
